Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21001A92-;JAKOB SMITS;Anderlecht;0,134170677;0,121369485;3,438744767;3,064579484;0,208709942;0,146654794;3,438744767;3,064579484;0,283249208;0,242738969;0,208709942;0,146654794;7,69742145;6,518552732;6,380561099;5,223944897
21001A00-;RESISTANCE;Anderlecht;0,11273959;0,08974551;2,889473949;2,266074133;0,175372696;0,108442492;2,889473949;2,266074133;0,238005802;0,17949102;0,175372696;0,108442492;6,467912062;4,820081778;5,361393859;3,862796336
21001A08-;ASTRID (PARC);Anderlecht;7,54616E-05;6,65768E-05;0,001934052;0,001681064;0,000117385;8,0447E-05;0,001934052;0,001681064;0,000159308;0,000133154;0,000117385;8,0447E-05;0,004329258;0,003575728;0,003588617;0,002865576
21001A95-;BUFFON;Anderlecht;0,120813979;0,107521513;3,096417532;2,714918194;0,187932856;0,129921828;3,096417532;2,714918194;0,255051733;0,215043025;0,187932856;0,129921828;6,931142712;5,774801241;5,745375882;4,627905106
21001B10-;ROSEE-EST;Anderlecht;0,105193433;0,082754947;2,696068732;2,089562424;0,163634229;0,099995562;2,696068732;2,089562424;0,222075026;0,165509895;0,163634229;0,099995562;6,034986221;4,444630305;5,002532155;3,561910865
21001B332;GOUJONS;Anderlecht;0,038787249;0,037416155;0,994102818;0,94475791;0,06033572;0,045211187;0,994102818;0,94475791;0,081884192;0,07483231;0,06033572;0,045211187;2,225238822;2,009559317;1,844549159;1,610453665
21001B241;REVISION-SUD;Anderlecht;0,07915919;0,063048218;2,028820731;1,591967511;0,123136518;0,076183264;2,028820731;1,591967511;0,167113846;0,126096436;0,123136518;0,076183264;4,54139207;3,386214721;3,764459276;2,713700393
21001B372;DEUX GARES;Anderlecht;0,002490232;0,001997304;0,063823722;0,050431917;0,003873694;0,002413409;0,063823722;0,050431917;0,005257156;0,003994607;0,003873694;0,002413409;0,142865527;0,10727185;0,118424362;0,085967278
21001A10-;PORSELEIN;Anderlecht;0,041579327;0,035418851;1,065662748;0,894325993;0,064678953;0,042797779;1,065662748;0,894325993;0,087778579;0,070837702;0,064678953;0,042797779;2,385421383;1,902287467;1,97732799;1,524486388
21001A120;MINIMES;Anderlecht;0,128661982;0,113446847;3,297558958;2,864532881;0,200140862;0,137081606;3,297558958;2,864532881;0,271619741;0,226893694;0,200140862;0,137081606;7,381385586;6,093041061;6,118592055;4,882941362
21001A152;LINDE-OUEST;Anderlecht;0,052370332;0,045471946;1,342232209;1,148166642;0,081464961;0,054945268;1,342232209;1,148166642;0,110559589;0,090943892;0,081464961;0,054945268;3,004505335;2,442222444;2,490500226;1,957188351
21001A02-;WAYEZ;Anderlecht;0,041881173;0,030625322;1,073398957;0,773289393;0,065148492;0,037005598;1,073398957;0,773289393;0,08841581;0,061250645;0,065148492;0,037005598;2,402738417;1,644835028;1,991682458;1,318164922
21001A112;BIESTEBROEK;Anderlecht;0,107079972;0,092408582;2,744420036;2,333316689;0,166568846;0,11166037;2,744420036;2,333316689;0,22605772;0,184817163;0,166568846;0,11166037;6,143217681;4,963110911;5,092247581;3,977419373
21002A20-;SAINT-JULIEN;Auderghem;0,059957217;0,095468074;0,491649183;0,331330376;0,095931548;0,106699613;0,491649183;0,331330376;0,041970052;0,039310384;0,095931548;0,106699613;1,528909046;0,892907284;0,887366819;0,595271522
21002A53-;PECHERIES;Auderghem;0,063556707;0,116471051;0,521165001;0,404223058;0,101690732;0,130173527;0,521165001;0,404223058;0,044489695;0,047958668;0,101690732;0,130173527;1,620696039;1,089346886;0,940639269;0,726231257
