Code;Territoire;Part des moins de 3 ans dans la population totale (%);Nombre de places en milieu d'accueil par enfant de moins de trois ans ();Population totale (Nombre d'habitants);#0-2 ans;#places en crèche
21004A822;RUE DES COMMERCANTS;4,38;0,00;593,00;26;0
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;4,43;0,00;1489,00;66;0
21004B10-;ORBAN (SQUARE);2,19;0,00;411,00;9;0
21004B112;RUE DU COMMERCE;0,00;0,00;43,00;0;0
21004B13-;TREVES (RUE DE);3,65;0,00;384,00;14;0
21004B1MJ;RUE JOSEPH II;0,00;0,00;0,00;0;0
21004B293;LEOPOLD (PARC);0,00;0,00;146,00;0;0
21004B2MJ;SCHUMAN (RO0-POINT);6,50;1,41;585,00;38;53,64705882
21004B2NJ;CITE DE LA CHAUSSEE;4,29;0,00;326,00;14;0
21004B2WJ;RUE DE PASCAL - ST.-SACREMENT;4,22;0,00;332,00;14;0
21004B411;DEUX EGLISES (RUE DES);3,79;2,06;1583,00;60;123,4615385
21004B421;MARIE-LOUISE (SQUARE);4,41;4,61;3723,00;164;756,4081633
21004B43-;AMBIORIX-NORD (SQUARE);4,07;0,44;5484,00;223;98,28909952
21004B44-;AMBIORIX-SUD (SQUARE);4,04;1,76;2750,00;111;195,2777778
21004B45-;ECOLE MILITAIRE;2,85;0,00;1542,00;44;0
21004B49-;CINQUANTENAIRE (PARC DU);0,00;0,00;15,00;0;0
21004C501;LOUISE (AVENUE)-NORD;2,84;0,00;563,00;16;0
21004C51-;LOUISE (AVENUE)-NORD-EST;3,23;0,90;1023,00;33;29,5862069
21004C52-;LOUISE (AVENUE)-NORD-OUEST;4,84;0,00;1137,00;55;0
21004C53-;LOUISE (AVENUE)-SUD-OUEST;3,66;0,00;766,00;28;0
21004C54-;LOUISE (AVENUE)-SUD-EST;3,69;0,00;1651,00;61;0
21004C552;LOUISE (AVENUE)-SUD;3,36;0,00;1695,00;57;0
21004C591;CAMBRE (BOIS DE LA);0,00;0,00;2,00;0;0
21004C61-;U.L.B.;4,21;4,29;879,00;37;158,7419355
21004C62-;BOE0AAL-OUEST;3,25;0,00;676,00;22;0
21004C63-;NATIONS (SQUARE DES);2,83;0,00;1272,00;36;0
21004C642;AVENUE FRANKLIN ROOSEVELT;1,61;0,00;372,00;6;0
21004C65-;VIVIER D'OIE;2,74;0,00;365,00;10;0
21004D600;PARVIS SAINT-ROCH;3,59;0,00;1254,00;45;0
21004D610;ANVERS (CHAUSSEE D')-SUD;6,02;0,73;2806,00;169;122,525
21004D62-;ANVERS (CHAUSSEE D')-NORD;5,49;0,34;3701,00;203;69,66863906
21004D631;ALLEE VERTE - BASSIN VERGOTE;4,71;0,00;488,00;23;0
21004D64-;MASUI (PLACE)-NORD;6,48;0,00;1019,00;66;0
21004D672;QUAI DE WILLEBROECK;3,44;0,00;1135,00;39;0
21004D6MJ;QUAI DES USINES - MONNOYER;0,00;0,00;10,00;0;0
21004D6NJ;TOUR ET TAXIS;8,98;0,00;245,00;22;0
21004E101;PARVIS NOTRE DAME;5,14;0,00;2121,00;109;0
21004E112;RUE DES CHRYSANTHEMES;4,23;0,00;520,00;22;0
21004E12-;PRINCE LEOPOLD (SQUARE);5,44;0,04;5409,00;294;10,31578947
21004E130;SACRE-COEUR;5,26;0,00;5323,00;280;0
21004E14-;ECOLE DES CADETS;5,33;0,25;2925,00;156;39,56484564
21004E180;DOMAINE ROYALE;0,00;0,00;24,00;0;0
21004E193;N.D. DE LAEKEN;0,00;0,00;0,00;0;0
21004E201;AVENUE JEAN DE BOLOGNE;4,59;0,00;5386,00;247;0
21004E211;RUE DE WA0;6,12;0,00;932,00;57;0
21004E222;MUTSAARD (AVENUE);4,07;0,00;2528,00;103;0
21004E233;DE MEYSSE (AVENUE);3,24;0,00;678,00;22;0
21004E292;AVENUE DES CROIX DU FEU;0,00;0,00;3,00;0;0
21004E70-;MARIE-CHRISTINE (RUE);5,78;0,30;5705,00;330;98,67676655
21004E72-;MAISON ROUGE (PLACE)-SUD;5,67;0,46;6117,00;347;158,4130435
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;6,62;0,00;3915,00;259;0
21004E74-;EM. DELVA (RUE);5,91;0,17;8209,00;485;81,70626351
21004E800;DIVIN JESUS;4,82;0,00;1265,00;61;0
21004E81-;DISQUE (RUE DU);4,45;0,00;1415,00;63;0
21004E82-;CITE MODELE;4,39;0,02;3601,00;158;3,813636947
21004E83-;STIENON (AVENUE);4,69;0,05;4368,00;205;11,08108109
21004E8MJ;HEYSEL;0,00;0,00;183,00;0;0
21004E8NJ;HOPITAL BRUGMANN;0,00;0,00;29,00;0;0
21004F511;AVENUE DES PAGODES;4,85;0,95;1855,00;90;85,5
21004F522;AVENUE DE VERSAILLES;3,75;1,16;2428,00;91;105,368421
21004F531;RUE DES FAINES;4,67;0,00;2889,00;135;0
21004F572;MARLY-SUD;0,00;0,00;45,00;0;0
21004F901;PLACE PETER BENOIT;5,30;0,04;1905,00;101;3,905505097
21004F91-;CROIX DE GUERRE (AVENUE DES);4,41;0,83;2697,00;119;98,26515152
21004F922;RUE CHATEAU BEYAERD;4,13;0,28;3023,00;125;34,55284553
21004F930;COIN DES CERISES;2,87;0,00;1952,00;56;0
21004F94-;VAL MARIA;2,09;0,00;861,00;18;0
21004F953;RUE DU WIMPELBERG;3,09;2,25;1296,00;40;90
21004F970;MARLY-NORD;0,00;0,00;178,00;0;0
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;0,00;0,00;85,00;0;0
21004F9MJ;NEDER-HEEMBEEK-NORD;8,58;0,84;1422,00;122;102,9456829
21004G30-;SAINTE-ELISABETH;4,15;0,87;3250,00;135;116,9366197
21004G310;HAREN-SUD-OUEST;4,67;0,00;1093,00;51;0
21004G321;HAREN-EST;4,55;0,00;1077,00;49;0
21004G371;GARE DE FORMATION;0,00;0,00;5,00;0;0
21004G3MJ;DOBBELENBERG (RUE DE);5,21;0,00;365,00;19;0
21004G3NJ;HAREN-SUD;5,07;0,00;276,00;14;0
21005A00-;HOTEL COMMUNAL;3,92;2,18;3776,00;148;322,537931
21005A01-;SAINTE-GERTRUDE;3,34;1,33;3503,00;117;156
21005A02-;CHAMP DU ROI (RUE);4,07;1,58;2899,00;118;186,254902
21005A031;MAELBEEK;3,28;0,31;1647,00;54;16,69090909
21005A042;PH. BAUCQ (RUE);4,47;0,27;4409,00;197;53,3314917
21005A051;RINSDELLE;4,07;0,34;4272,00;174;58,95081967
21005A082;COURS ST-MICHEL;6,37;0,00;267,00;17;0
21005A10-;GENERAL HENRI (RUE);3,90;1,35;3487,00;136;184,1666667
21005A11-;NOTRE-DAME DU SACRE-COEUR;4,02;0,66;3157,00;127;83,70454546
21005A12-;SAINT-ANTOINE;3,87;0,16;6569,00;254;39,7201646
21005A13-;LA CHASSE;3,74;0,00;1418,00;53;0
21005A14-;ARMEE (AVENUE DE L');3,68;0,18;3235,00;119;21,25
21005A15-;SAINT-MICHEL COLLEGE;3,12;0,41;1987,00;62;25,22033898
21005A20-;PORTE DE TERVUEREN - TONGRES;3,28;0,25;1798,00;59;14,75
21005A21-;PORTE DE TERVUEREN - BRAFFORT;4,02;1,26;722,00;29;36,51851852
21005A22-;PORTE DE TERVUEREN - L. DE LAN;3,52;2,49;1080,00;38;94,48648649
21005A29-;CINQUANTENAIRE (PARC);0,00;0,00;0,00;0;0
21005A311;CASERNE (Etterbeek);4,25;0,77;1719,00;73;56,22972973
21005A322;NOUVELLE AVENUE-SUD;1,82;0,00;330,00;6;0
21005A33-;CARDINAL LAVIGERIE (RUE);4,57;0,00;1487,00;68;0
21006A001;VIEIL EVERE;4,79;0,03;3026,00;145;3,76623377
21006A011;CENTRE;4,90;0,34;2837,00;139;47,60273972
21006A02-;IEDER ZIJN HUIS - STROOBANTS;2,99;1,09;636,00;19;20,72727273
21006A03-;BLOCS SAINT-VINCENT;4,50;0,00;756,00;34;0
21006A042;KERKHOEK;4,61;1,36;1236,00;57;77,43396226
21006A052;CHAMP DE REPOS;4,55;0,53;2548,00;116;61,41176471
21006A073;GARE DE FORMATION;0,00;0,00;0,00;0;0
21006A094;BON PASTEUR;2,44;0,00;410,00;10;0
21006A101;CONSCIENCE;5,01;0,21;4472,00;224;47,01234568
21006A11-;OASIS - PROVENCE - LANGUEDOC;3,13;0,00;894,00;28;0
21006A12-;GERMINAL I;3,77;0,00;770,00;29;0
21006A13-;MAISON COMMUNALE;5,17;0,00;1411,00;73;0
21006A142;ED. DEKNOOP (RUE);5,28;0,00;1250,00;66;0
21006A153;KEET;3,57;0,84;1262,00;45;37,8
21006A171;ANCIEN COMBATTANTS (AVENUE);4,11;2,77;414,00;17;47,07692308
21006A201;HAUT-EVERE;4,22;0,08;2585,00;109;9,08333333
21006A21-;HOME FAMILIAL BRABANT;2,26;1,04;1194,00;27;28,17391304
21006A22-;SAINT-EXUPERY;3,99;0,00;2081,00;83;0
21006A23-;DU BONHEUR;3,81;0,00;2943,00;112;0
21006A24-;IEDER ZIJN HUIS - ZAVENTEM;3,31;2,55;543,00;18;45,9
21006A25-;GIBET;3,24;0,00;1050,00;34;0
21006A272;QUARTIER GROSJEAN;0,00;0,00;85,00;0;0
21006A312;J. BORDET (AVENUE DE);5,07;0,00;493,00;25;0
21006A323;GERMINAL II;2,81;0,00;853,00;24;0
21006A37-;ZONE I0USTRIELLE;0,00;0,00;145,00;0;0
21006A403;QUARTIER CICERO;4,85;0,35;1898,00;92;31,95789474
21006A414;P. DUPONT (RUE);4,37;1,05;3111,00;136;142,8
21006A474;COMMUNAUTES;6,14;0,93;1026,00;63;58,65517242
21006A48-;CIMETIERE BRUXELLES;0,00;0,00;27,00;0;0
21006A515;CARLI;4,10;0,00;1098,00;45;0
21007A00-;CENTRE SAINT-DENIS;4,91;0,39;3322,00;163;63,50649351
21007A01-;CURE D'ARS;4,11;0,55;1290,00;53;28,90909091
21007A02-;STUART MERRIL;2,91;0,00;585,00;17;0
21007A03-;FOYER FORESTOIS - FAMILLE;2,19;1,94;1139,00;25;48,38709678
21007A04-;FOYER FORESTOIS - MADELON;3,48;0,00;517,00;18;0
21007A05-;NEERSTALLE;3,94;0,00;965,00;38;0
21007A06-;KATANGA;5,39;0,00;686,00;37;0
21007A071;BOLLINCKX;6,52;0,27;1027,00;67;18,35616438
21007A082;BEMPT;0,00;0,00;56,00;0;0
21007A101;BOURGOGNE;4,66;0,76;2856,00;133;101,6422764
21007A111;MESSIDOR I;4,12;0,00;534,00;22;0
21007A12-;HAVESKERCKE;6,98;0,00;258,00;18;0
21007A132;DENAYER (RUE);0,00;0,00;150,00;0;0
21007A142;MONTE CARLO;4,34;0,00;1473,00;64;0
21007A201;ROOSE0AEL (RUE);3,30;0,91;2573,00;85;77,06666667
21007A21-;MAGNANERIE;3,40;0,00;530,00;18;0
21007A239;NEPTUNE (AVENUE) I;4,03;0,36;3074,00;124;44,08888889
21007A242;GLOBE;2,31;0,00;606,00;14;0
21007A252;MESSIDOR II;1,19;0,00;253,00;3;0
21007A291;FOREST NATIONAL - STADE;0,00;0,00;2,00;0;0
21007A373;CHARROI (RUE DE);0,00;0,00;19,00;0;0
