Code;Territoire;Commune;#hommes colloc dans commune;% de hommes de la commune dans secteur stat;#hommes colloc dans secteur stat
21004G30-;SAINTE-ELISABETH;Bruxelles;4314;0,018142032;78,26472491
21004F930;COIN DES CERISES;Bruxelles;4314;0,009690842;41,80629096
21004G321;HAREN-EST;Bruxelles;4314;0,005928769;25,57670749
21004B2WJ;RUE DE PASCAL - ST.-SACREMENT;Bruxelles;4314;0,001940324;8,370558813
21004B45-;ECOLE MILITAIRE;Bruxelles;4314;0,008408072;36,27242152
21004B49-;CINQUANTENAIRE (PARC DU);Bruxelles;4314;0,000118575;0,51153415
21004B1MJ;RUE JOSEPH II;Bruxelles;4314;0;0
21004A25-;BEGUINAGE (PLACE DU);Bruxelles;4314;0,010445412;45,06150828
21004B2MJ;SCHUMAN (ROND-POINT);Bruxelles;4314;0,003363229;14,50896861
21004B44-;AMBIORIX-SUD (SQUARE);Bruxelles;4314;0,014972835;64,59281218
21004B43-;AMBIORIX-NORD (SQUARE);Bruxelles;4314;0,02920188;125,9769101
21004B293;LEOPOLD (PARC);Bruxelles;4314;0,000689893;2,976198689
21004A24-;MARCHE AU PORCS;Bruxelles;4314;0,020287168;87,5188427
21004F970;MARLY-NORD;Bruxelles;4314;0,00102406;4,417794929
21004A35-;AD. MAX (BOULEVARD);Bruxelles;4314;0,008030786;34,64481287
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;Bruxelles;4314;0,009173422;39,57414195
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;Bruxelles;4314;0,000431183;1,860124181
21004F531;RUE DES FAINES;Bruxelles;4314;0,015263884;65,848396
21004E180;DOMAINE ROYALE;Bruxelles;4314;0,000107796;0,465031045
21004E292;AVENUE DES CROIX DU FEU;Bruxelles;4314;3,23387E-05;0,139509314
21004G3MJ;DOBBELENBERG (RUE DE);Bruxelles;4314;0,002393067;10,3236892
21004F572;MARLY-SUD;Bruxelles;4314;0,000301828;1,302086927
21004F91-;CROIX DE GUERRE (AVENUE DES);Bruxelles;4314;0,014175147;61,15158244
21004F922;RUE CHATEAU BEYAERD;Bruxelles;4314;0,016503536;71,19625302
21004G3NJ;HAREN-SUD;Bruxelles;4314;0,0020589;8,882092963
21004C642;AVENUE FRANKLIN ROOSEVELT;Bruxelles;4314;0,001843308;7,952030873
21004C591;CAMBRE (BOIS DE LA);Bruxelles;4314;1,07796E-05;0,046503105
21004C61-;U.L.B.;Bruxelles;4314;0,00436573;18,83375733
21004C54-;LOUISE (AVENUE)-SUD-EST;Bruxelles;4314;0,008925492;38,50457054
21004C63-;NATIONS (SQUARE DES);Bruxelles;4314;0,006834253;29,48296826
21004B2NJ;CITE DE LA CHAUSSEE;Bruxelles;4314;0,00229605;9,905161263
21004B13-;TREVES (RUE DE);Bruxelles;4314;0,00231761;9,998167472
21004F953;RUE DU WIMPELBERG;Bruxelles;4314;0,00690971;29,80849
21004F9MJ;NEDER-HEEMBEEK-NORD;Bruxelles;4314;0,00767506;33,11021042
21004A02-;SAINT-FRANCOIS XAVIER;Bruxelles;4314;0,009248879;39,89966368
21004A70-;BLAES (RUE)-SUD;Bruxelles;4314;0,026463867;114,1651216
21004A1MJ;COLONIES (RUE DES);Bruxelles;4314;0,00024793;1,069571404
21004A03-;BON SECOURS - PALAIS DU MIDI;Bruxelles;4314;0,012601328;54,36212918
21004A19-;PALAIS ROYAL;Bruxelles;4314;0,000150914;0,651043463
21004A23-;NOUVEAU MARCHE AU GRAIN;Bruxelles;4314;0,018799586;81,10141428
21004A10-;GARE CENTRALE;Bruxelles;4314;0,000495861;2,139142808
21004A01-;VIEILLE HALLE AUX BLES;Bruxelles;4314;0,005831752;25,15817954
21004A22-;SENNE (RUE DE LA);Bruxelles;4314;0,019748189;85,19368748
21004B10-;ORBAN (SQUARE);Bruxelles;4314;0,002360728;10,18417989
21004A72-;SAINT-THOMAS (INSTITUT);Bruxelles;4314;0,009593825;41,38776302
21004A71-;BLAES (RUE)-CENTRE;Bruxelles;4314;0,010003449;43,15488099
21004A002;BOURSE;Bruxelles;4314;0,003568041;15,3925276
21004A34-;MONNAIE;Bruxelles;4314;0,00666178;28,73891859
21004A15-;JACOBS (PLACE);Bruxelles;4314;0,003190755;13,76491894
21004A04-;NOTRE-DAME DE LA CHAPELLE;Bruxelles;4314;0,006521645;28,13437823
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;Bruxelles;4314;0,017452139;75,28852622
21004A20-;BOURSE-NORD-OUEST;Bruxelles;4314;0,014487754;62,50017247
21004A14-;GRAND SABLON;Bruxelles;4314;0,010337616;44,59647723
21004A001;GRAND-PLACE;Bruxelles;4314;0,005659279;24,41412987
21004A32-;CONGRES - GARE;Bruxelles;4314;0,007340893;31,66861418
21004A30-;SAINT-MICHEL ET GUDULE;Bruxelles;4314;0,000150914;0,651043463
21004C52-;LOUISE (AVENUE)-NORD-OUEST;Bruxelles;4314;0,005723957;24,6931485
21004A12-;REGENT (BOULEVARD DU);Bruxelles;4314;0,000959383;4,138776302
21004C552;LOUISE (AVENUE)-SUD;Bruxelles;4314;0,009054846;39,0626078
21004B112;RUE DU COMMERCE;Bruxelles;4314;0,000237151;1,023068299
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;Bruxelles;4314;0,000883925;3,813254571
21004C51-;LOUISE (AVENUE)-NORD-EST;Bruxelles;4314;0,005443687;23,48406778
21004A33-;LIBERTE (PLACE DE LA);Bruxelles;4314;0,013226544;57,05930924
21004C53-;LOUISE (AVENUE)-SUD-OUEST;Bruxelles;4314;0,004279493;18,46173249
21004C501;LOUISE (AVENUE)-NORD;Bruxelles;4314;0,002770352;11,95129786
21004A21-;ANNEESSENS (PLACE);Bruxelles;4314;0,038504657;166,1090893
21004A13-;PETIT SABLON;Bruxelles;4314;0,005055623;21,80995602
21004E70-;MARIE-CHRISTINE (RUE);Bruxelles;4314;0,032177044;138,811767
21004E74-;EM. DELVA (RUE);Bruxelles;4314;0,046255174;199,5448215
21004E201;AVENUE JEAN DE BOLOGNE;Bruxelles;4314;0,028123922;121,3265997
21004E83-;STIENON (AVENUE);Bruxelles;4314;0,022949724;99,00510952
21004E8MJ;HEYSEL;Bruxelles;4314;0,000657554;2,836689376
21004E130;SACRE-COEUR;Bruxelles;4314;0,030064246;129,6971585
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;Bruxelles;4314;0,022302949;96,21492325
21004E72-;MAISON ROUGE (PLACE)-SUD;Bruxelles;4314;0,034365298;148,2518972
21004E193;N.D. DE LAEKEN;Bruxelles;4314;0;0
21004D64-;MASUI (PLACE)-NORD;Bruxelles;4314;0,005594602;24,13511125
21004E112;RUE DES CHRYSANTHEMES;Bruxelles;4314;0,002899707;12,50933512
21004D62-;ANVERS (CHAUSSEE D')-NORD;Bruxelles;4314;0,02050276;88,44890479
21004E211;RUE DE WAND;Bruxelles;4314;0,004926268;21,25191877
21004D631;ALLEE VERTE - BASSIN VERGOTE;Bruxelles;4314;0,003568041;15,3925276
21004E12-;PRINCE LEOPOLD (SQUARE);Bruxelles;4314;0,029536047;127,4185064
21004D6NJ;TOUR ET TAXIS;Bruxelles;4314;0,001767851;7,626509141
21004A822;RUE DES COMMERCANTS;Bruxelles;4314;0,00461366;19,90332873
21004E800;DIVIN JESUS;Bruxelles;4314;0,006252156;26,97180062
21004E233;DE MEYSSE (AVENUE);Bruxelles;4314;0,00334167;14,4159624
21004E101;PARVIS NOTRE DAME;Bruxelles;4314;0,011760521;50,73488703
21004A811;QUAI DU COMMERCE;Bruxelles;4314;0,015037513;64,8718308
21004D672;QUAI DE WILLEBROECK;Bruxelles;4314;0,006618662;28,55290617
21004E14-;ECOLE DES CADETS;Bruxelles;4314;0,015986116;68,964104
21004F522;AVENUE DE VERSAILLES;Bruxelles;4314;0,012224043;52,73452052
21004E82-;CITE MODELE;Bruxelles;4314;0,017991118;77,61368144
21004E222;MUTSAARD (AVENUE);Bruxelles;4314;0,01254743;54,12961366
21004E81-;DISQUE (RUE DU);Bruxelles;4314;0,006737237;29,06444032
21004D600;PARVIS SAINT-ROCH;Bruxelles;4314;0,006532425;28,18088134
21004D610;ANVERS (CHAUSSEE D')-SUD;Bruxelles;4314;0,015425578;66,54594257
21004E8NJ;HOPITAL BRUGMANN;Bruxelles;4314;2,15592E-05;0,093006209
21005A10-;GENERAL HENRI (RUE);Etterbeek;1290;0,072263778;93,22027341
21005A042;PH. BAUCQ (RUE);Etterbeek;1290;0,093070243;120,0606139
21005A02-;CHAMP DU ROI (RUE);Etterbeek;1290;0,062161465;80,18828991
21005A33-;CARDINAL LAVIGERIE (RUE);Etterbeek;1290;0,031037744;40,03868971
21005A14-;ARMEE (AVENUE DE L');Etterbeek;1290;0,066761242;86,12200155
21005A13-;LA CHASSE;Etterbeek;1290;0,030478893;39,31777147
21005A082;COURS ST-MICHEL;Etterbeek;1290;0,005373571;6,931906113
21005A01-;SAINTE-GERTRUDE;Etterbeek;1290;0,073897343;95,32757287
21005A322;NOUVELLE AVENUE-SUD;Etterbeek;1290;0,006190353;7,985555842
21005A311;CASERNE (Etterbeek);Etterbeek;1290;0,035293612;45,52875935
21005A20-;PORTE DE TERVUEREN - TONGRES;Etterbeek;1290;0,036712235;47,35878256
21005A15-;SAINT-MICHEL COLLEGE;Etterbeek;1290;0,040882125;52,73794171
21005A031;MAELBEEK;Etterbeek;1290;0,033230161;42,8669074
21005A051;RINSDELLE;Etterbeek;1290;0,085461267;110,2450348
21005A11-;NOTRE-DAME DU SACRE-COEUR;Etterbeek;1290;0,063537099;81,96285788
21005A00-;HOTEL COMMUNAL;Etterbeek;1290;0,079786777;102,924942
21005A29-;CINQUANTENAIRE (PARC);Etterbeek;1290;0;0
21005A12-;SAINT-ANTOINE;Etterbeek;1290;0,145473304;187,6605623
21005A22-;PORTE DE TERVUEREN - L. DE LAN;Etterbeek;1290;0,023170837;29,89037916
21005A21-;PORTE DE TERVUEREN - BRAFFORT;Etterbeek;1290;0,014831055;19,13206087
21006A12-;GERMINAL I;Evere;615;0,017001157;10,45571148
21006A11-;OASIS - PROVENCE - LANGUEDOC;Evere;615;0,021477793;13,20884261
21006A153;KEET;Evere;615;0,029525678;18,15829184
21006A13-;MAISON COMMUNALE;Evere;615;0,034907701;21,468236
21006A02-;IEDER ZIJN HUIS - STROOBANTS;Evere;615;0,013329309;8,197525275
21006A073;GARE DE FORMATION;Evere;615;0;0
21006A03-;BLOCS SAINT-VINCENT;Evere;615;0,017655048;10,85785423
21006A094;BON PASTEUR;Evere;615;0,009707761;5,970273125
21006A515;CARLI;Evere;615;0,027211911;16,73532518
21006A24-;IEDER ZIJN HUIS - ZAVENTEM;Evere;615;0,012926915;7,950052814
21006A403;QUARTIER CICERO;Evere;615;0,047834616;29,41828882
21006A474;COMMUNAUTES;Evere;615;0,027916101;17,16840199
21006A201;HAUT-EVERE;Evere;615;0,061817816;38,01795684
21006A272;QUARTIER GROSJEAN;Evere;615;0,001358081;0,835219556
21006A21-;HOME FAMILIAL BRABANT;Evere;615;0,026708918;16,42598461
21006A23-;DU BONHEUR;Evere;615;0,069614205;42,81273578
21006A37-;ZONE INDUSTRIELLE;Evere;615;0,00422514;2,598460842
21006A312;J. BORDET (AVENUE DE);Evere;615;0,013379609;8,228459333
21006A101;CONSCIENCE;Evere;615;0,10769076;66,22981741
21006A001;VIEIL EVERE;Evere;615;0,075650118;46,5248227
21006A414;P. DUPONT (RUE);Evere;615;0,076756702;47,20537196
21006A171;ANCIEN COMBATTANTS (AVENUE);Evere;615;0,016045471;9,867964388
21006A25-;GIBET;Evere;615;0,022785574;14,01312811
21006A48-;CIMETIERE BRUXELLES;Evere;615;0,000653891;0,402142749
21006A22-;SAINT-EXUPERY;Evere;615;0,049242996;30,28444243
21006A011;CENTRE;Evere;615;0,069060912;42,47246114
21006A142;ED. DEKNOOP (RUE);Evere;615;0,031034656;19,08631357
21006A042;KERKHOEK;Evere;615;0,030028671;18,46763241
21006A052;CHAMP DE REPOS;Evere;615;0,063175897;38,8531764
21006A323;GERMINAL II;Evere;615;0,018308938;11,25999698
21007A03-;FOYER FORESTOIS - FAMILLE;Forest;1382;0,018689534;25,8289358
21007A252;MESSIDOR II;Forest;1382;0,003847845;5,317722076
21007A201;ROOSENDAEL (RUE);Forest;1382;0,04192319;57,93784814
21007A21-;MAGNANERIE;Forest;1382;0,008025506;11,0912489
21007A291;FOREST NATIONAL - STADE;Forest;1382;0,000146585;0,202579889
21007A242;GLOBE;Forest;1382;0,009857813;13,62349751
21007A75-;TOURNOI (RUE DU);Forest;1382;0,01729698;23,90442685
21007A814;VILLAS - MONT KEMMEL;Forest;1382;0,003334799;4,608692466
21007A111;MESSIDOR I;Forest;1382;0,009931105;13,72478745
21007A41-;PONT DE LUTTRE-OUEST;Forest;1382;0,009418059;13,01575784
21007A142;MONTE CARLO;Forest;1382;0,025652301;35,4514805
21007A53-;WIELEMANS CEUPPENS;Forest;1382;0,050315157;69,53554676
21007A50-;BERANGER;Forest;1382;0,057717678;79,76583113
21007A51-;CHATAIGNE;Forest;1382;0,017810026;24,61345646
21007A552;REINE MARIE-HENRIETTE;Forest;1382;0,00513046;7,090296101
21007A541;LYCEE;Forest;1382;0,011470243;15,85187628
21007A61-;MONTENEGRO (RUE);Forest;1382;0,094363823;130,4108033
21007A06-;KATANGA;Forest;1382;0,01311932;18,13090003
21007A04-;FOYER FORESTOIS - MADELON;Forest;1382;0,006669598;9,217384931
21007A00-;CENTRE SAINT-DENIS;Forest;1382;0,063764292;88,12225154
21007A101;BOURGOGNE;Forest;1382;0,050388449;69,6368367
21007A783;PARC DE FOREST;Forest;1382;0,009088244;12,55995309
21007A373;CHARROI (RUE DE);Forest;1382;0,000256523;0,354514805
21007A071;BOLLINCKX;Forest;1382;0,022647318;31,29859279
21007A70-;ALTITUDE  CENT;Forest;1382;0,053283495;73,6377895
21007A239;NEPTUNE (AVENUE) I;Forest;1382;0,049399003;68,26942246
21007A05-;NEERSTALLE;Forest;1382;0,018579595;25,67700088
21007A082;BEMPT;Forest;1382;0,000769569;1,063544415
21007A01-;CURE D'ARS;Forest;1382;0,023123717;31,95697743
21007A132;DENAYER (RUE);Forest;1382;0,003151568;4,355467605
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;Forest;1382;0,018872765;26,08216066
21007A40-;PONT DE LUTTRE;Forest;1382;0,038844914;53,68367048
21007A02-;STUART MERRIL;Forest;1382;0,010920551;15,0922017
21007A12-;HAVESKERCKE;Forest;1382;0,004544122;6,279976546
21007A60-;SAINT-ANTOINE;Forest;1382;0,084176195;116,331501
21007A73-;BERCKENDAEL (RUE);Forest;1382;0,038991498;53,88625037
21007A72-;MOLIERE;Forest;1382;0,079888596;110,4060393
21007A71-;CHAUSSEE D'ALSEMBERG;Forest;1382;0,023710056;32,76729698
21007A79-;PARC DUDEN;Forest;1382;0,000146585;0,202579889
21008A31-;TOUSSAINT;Ganshoren;447;0,018392542;8,221466364
21008A30-;LE HOME;Ganshoren;447;0,051734274;23,12522046
21008A00-;CENTRE;Ganshoren;447;0,045855379;20,4973545
21008A38-;PARC DE RIVIEREN;Ganshoren;447;8,39842E-05;0,037540942
21008A27-;NESTOR MARTIN;Ganshoren;447;0;0
