Code;Territoire;Commune;#femmes colloc dans commune;% de femmes de la commune dans secteur stat;#femmes colloc dans secteur stat
21010A21-;MADELEINE;Jette;688;0,070487484;48,49538867
21010A02-;LEOPOLD I;Jette;688;0,083296735;57,308154
21011A11-;LEPREUX;Koekelberg;315;0,105239345;33,15039363
21011A30-;ARCHERS - FOUREZ;Koekelberg;315;0,110487739;34,80363768
21011A20-;PLATEAU;Koekelberg;315;0,169758393;53,47389377
21011A10-;PAIX (AVENUE DE LA);Koekelberg;315;0,122703828;38,65170573
21011A01-;SAINTE-ANNE;Koekelberg;315;0,202877568;63,90643381
21011A02-;JACQUET (RUE DE);Koekelberg;315;0,093475704;29,44484662
21011A00-;VANHUFFEL;Koekelberg;315;0,098000181;30,87005701
21011A12-;BASILIQUE;Koekelberg;315;0,097276265;30,64202335
21011A29-;PARC ELISABETH;Koekelberg;315;0;0
21012A552;PFEIFFER;Molenbeek Saint-Jean;1037;0,014730018;15,27502872
21012A833;ELBERS;Molenbeek Saint-Jean;1037;0,00533399;5,531347448
21012A84-;METTEWIE-BUILDINGS;Molenbeek Saint-Jean;1037;0,023346463;24,21028229
21012A24-;OSSEGHEM;Molenbeek Saint-Jean;1037;0,039061218;40,50648285
21012A26-;MACHTENS-NORD;Molenbeek Saint-Jean;1037;0,042405219;43,97421221
21012A29-;MARIE-JOSE (PARC);Molenbeek Saint-Jean;1037;0;0
21012A25-;BEEKKANT;Molenbeek Saint-Jean;1037;0,008944691;9,275644182
21012A172;GARE OUEST;Molenbeek Saint-Jean;1037;0,011775808;12,21151321
21012A041;QUATRE VENTS;Molenbeek Saint-Jean;1037;0,020535861;21,29568767
21012A10-;DUCHESSE DE BRABANT;Molenbeek Saint-Jean;1037;0,024269654;25,16763089
21012A00-;CENTRE;Molenbeek Saint-Jean;1037;0,024556869;25,46547267
21012A05-;SAINT-JOSEPH;Molenbeek Saint-Jean;1037;0,010996225;11,40308551
