Code;Name;Commune
21012A822;KORENBEEK;Molenbeek Saint-Jean
21012A811;MYRTES-NORD;Molenbeek Saint-Jean
21012A141;INDEPENDANCE;Molenbeek Saint-Jean
21012A03-;RANSFORT;Molenbeek Saint-Jean
21012A11-;INDUSTRIE;Molenbeek Saint-Jean
21012A02-;BRUNFAUT (QUARTIER);Molenbeek Saint-Jean
21012A011;CANAL-SUD;Molenbeek Saint-Jean
21012A732;CANAL-NORD;Molenbeek Saint-Jean
21013A242;BETHLEEM (PLACE DE);Saint-Gilles
21013A102;PARVIS;Saint-Gilles
21013A101;PARVIS;Saint-Gilles
21013A13-;DETHY (RUE);Saint-Gilles
21013A121;GUILLAUME TELL-SUD;Saint-Gilles
21013A422;CRICKX (RUE);Saint-Gilles
21013A11-;PARME (RUE DE);Saint-Gilles
21013A01-;ESPAGNE (RUE D');Saint-Gilles
21013A04-;PRISON;Saint-Gilles
21013A623;FRANCE (RUE DE);Saint-Gilles
21013A201;ANGLETERRE (RUE D');Saint-Gilles
21013A252;DANEMARK (RUE DE);Saint-Gilles
21013A23-;ROI (AVENUE DU);Saint-Gilles
21013A02-;CAPOUILLET (RUE);Saint-Gilles
21013A2MJ;GARE DU MIDI;Saint-Gilles
21013A612;JAMAR;Saint-Gilles
21013A22-;REGIES;Saint-Gilles
21013A211;FONTAINAS;Saint-Gilles
21013A052;FAIDER (RUE);Saint-Gilles
21013A151;METAL (RUE DU);Saint-Gilles
21013A522;RUE D'ECOSSE;Saint-Gilles
21013A40-;BARRIERE;Saint-Gilles
21013A41-;VILLAS (AVENUE DES);Saint-Gilles
21013A031;AMAZONE (RUE DE);Saint-Gilles
21013A00-;HOTEL DE VILLE;Saint-Gilles
21013A51-;TOISON D'OR (AVENUE);Saint-Gilles
21014A00-;PLACE SAINT-JOSSE;Saint-Josse-ten-Noode
21014A02-;CHARITE;Saint-Josse-ten-Noode
21014A14-;PRAIRIE;Saint-Josse-ten-Noode
21014A2MJ;NORD;Saint-Josse-ten-Noode
