Code;Territoire;0-4 ans femmes;0-4 ans hommes;5-9 ans femmes;5-9 ans hommes;10-14 ans femmes;10-14 ans hommes;15-19 ans femmes;15-19 ans hommes;20-24 ans femmes;20-24 ans hommes;25-29 ans femmes;25-29 ans hommes;30-34 ans femmes;30-34 ans hommes;35-39 ans femmes;35-39 ans hommes;40-44 ans femmes;40-44 ans hommes;45-49 ans femmes;45-49 ans hommes;50-54 ans femmes;50-54 ans hommes;55-59 ans femmes;55-59 ans hommes;60-64 ans femmes;60-64 ans hommes;65-69 ans femmes;65-69 ans hommes;70-74 ans femmes;70-74 ans hommes;75-79 ans femmes;75-79 ans hommes;80-84 ans femmes;80-84 ans hommes;85-89 ans femmes;85-89 ans hommes;90-94 ans femmes;90-94 ans hommes;95+ ans femmes;95+ ans hommes
21001A931;AGRAFE-NORBERT GILLE;5;4;5;4;3;3;2;3;4;3;4;3;4;4;4;4;0;5;3;4;3;3;2;2;2;2;2;1;1;1;1;0;1;0;0;0;0;0;0;0
21001A74-;SCHEUT-OUEST;4;5;3;5;4;4;4;3;3;3;3;3;5;3;4;3;3;4;3;4;3;3;2;2;2;2;1;2;2;1;1;1;1;1;1;0;1;0;0;0
21001A92-;JAKOB SMITS;4;4;4;4;4;4;3;3;3;3;4;4;4;3;4;4;4;5;3;4;3;3;2;3;2;2;2;2;1;1;1;1;1;0;0;0;0;0;0;0
21001A00-;RESISTANCE;4;4;4;3;4;4;3;4;4;4;4;5;4;4;3;4;3;4;4;4;2;3;2;2;2;3;2;2;1;1;1;1;1;1;0;0;0;0;0;0
21001A08-;ASTRID (PARC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A95-;BUFFON;4;4;3;4;3;4;3;3;3;3;4;4;3;3;4;3;4;4;3;3;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;0;0;0;0;0
21001B10-;ROSEE-EST;4;5;4;4;4;4;4;4;4;4;4;3;3;4;4;5;3;4;3;4;2;3;2;3;2;2;1;2;1;1;1;1;1;0;0;0;0;0;0;0
21001B332;GOUJONS;3;4;4;4;6;5;3;4;2;3;1;1;3;1;3;2;0;4;3;5;3;4;3;4;3;2;3;2;3;2;3;1;1;1;1;0;0;0;0;0
21001B241;REVISION-SUD;4;5;4;4;3;3;3;2;3;2;4;3;5;5;4;6;0;5;3;4;2;4;2;3;1;1;2;1;1;1;1;1;1;0;0;0;0;0;0;0
21001B372;DEUX GARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A10-;PORSELEIN;4;4;4;4;3;4;2;2;3;5;4;3;4;4;3;3;0;5;4;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;0;0;0;0;0
21001A120;MINIMES;5;4;4;4;3;3;3;2;4;3;5;4;4;5;4;4;4;4;3;4;2;3;2;3;3;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0
21001A152;LINDE-OUEST;4;4;4;5;3;4;2;2;3;4;4;4;5;4;4;3;0;4;2;4;2;3;3;3;2;3;2;1;2;1;2;1;1;1;1;0;0;0;0;0
21001A02-;WAYEZ;6;6;4;7;5;4;3;3;3;4;4;4;4;3;5;5;0;6;3;5;1;3;1;2;1;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0
21001A112;BIESTEBROEK;4;4;4;4;4;4;3;3;3;4;3;4;4;4;4;4;4;5;3;4;2;3;2;2;3;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0
21002A20-;SAINT-JULIEN;2;2;2;3;3;3;3;2;4;4;7;5;4;5;4;4;0;3;3;3;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;0;0;0;0;0
21002A53-;PECHERIES;3;3;3;2;2;2;1;2;2;2;3;4;4;4;4;4;0;4;3;3;3;3;3;3;3;2;4;1;4;2;3;2;2;1;2;0;0;0;0;0
21002A511;INVALIDES (BOULEVARD DES);3;3;4;4;3;2;2;2;4;3;4;4;5;4;4;4;4;4;3;3;3;3;2;2;3;3;2;2;1;1;1;1;1;1;1;0;1;0;0;0
21002A23-;TH. BALIS (PLACE);3;4;3;3;3;3;3;3;3;3;5;5;4;4;4;3;0;4;4;3;3;3;3;3;2;3;3;2;2;1;1;1;1;1;1;1;0;0;0;0
21002A22-;CANARIS (AVENUE DES);4;4;3;4;2;1;2;3;3;3;4;4;4;4;4;5;0;4;4;3;4;3;4;3;3;2;2;2;2;2;2;1;2;1;1;1;0;0;0;0
21002A24-;AVENUE DE BROUCKERE;3;3;2;3;3;3;3;3;3;3;5;4;4;4;4;4;0;3;3;3;4;4;3;3;3;2;2;1;2;1;2;1;2;1;1;1;1;0;0;0
21002A25-;WATERMAEL (CHAUSSEE DE);4;2;3;4;3;3;2;2;3;3;4;4;5;3;4;4;0;4;4;3;3;3;2;3;3;2;3;2;1;1;1;1;1;1;1;0;1;0;0;0
21002A45-;VAL DUC;1;2;3;3;2;3;2;3;3;4;3;5;2;3;3;3;0;4;3;3;3;3;4;3;5;3;3;3;4;3;2;1;2;1;1;1;1;0;0;0
21002A441;CHANT D'OISEAUX;3;3;3;4;3;5;3;3;3;3;2;3;2;2;4;2;0;4;4;4;4;4;3;3;3;2;3;3;3;2;1;1;2;1;1;1;1;0;0;0
21002A482;VAL DUCHESSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A190;FORET DE SOIGNES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A130;PARC DES PRINCES;2;2;3;4;3;5;3;3;3;3;2;3;2;1;2;2;0;4;4;4;4;4;3;3;3;3;1;2;3;2;2;2;2;1;2;1;2;1;1;0
21002A572;DEPOT METRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A311;AMITIE (PLACE DE L');3;3;3;3;4;2;3;3;5;3;5;5;4;4;4;4;0;4;3;3;4;3;3;3;3;3;2;1;1;1;1;0;1;1;1;0;0;0;0;0
21002A372;QUARTIER INDUSTRIE;3;4;4;3;3;2;1;2;3;2;6;6;6;7;5;5;0;5;3;4;3;3;2;2;1;2;2;1;0;1;1;1;1;0;1;0;0;0;0;0
21002A492;WOLUWE PARC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A30-;TRIOMPHE (BOULEVARD DU);3;3;4;3;2;3;3;3;5;6;6;6;4;5;4;4;0;4;3;4;3;2;3;3;3;2;1;1;1;0;1;1;1;0;0;0;0;0;0;0
21002A21-;LEBON;3;4;3;2;2;2;2;1;2;2;4;4;5;5;4;4;3;4;4;3;3;3;3;3;3;2;2;1;3;2;2;1;3;1;2;1;1;0;0;0
21002A411;PUTDAAL;4;2;2;2;3;4;4;3;5;4;5;3;1;2;1;2;0;3;4;3;4;4;3;4;3;3;4;2;2;3;2;3;1;1;2;1;1;0;0;0
21002A00-;CENTRE - NORD;2;4;3;2;3;3;3;2;3;2;4;5;4;3;4;4;0;3;3;4;3;3;3;3;3;3;3;2;3;2;2;0;2;1;1;1;1;0;0;0
21002A39-;CHEMIN DE FER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A18-;ROUGE CLOITRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A02-;CENTRE-SUD;3;3;2;3;2;2;2;2;2;3;3;3;4;3;3;3;0;3;3;3;2;3;3;4;3;3;3;3;3;1;2;1;3;1;5;1;3;0;1;0
21002A030;LAMMERENDRIES;2;3;3;3;3;4;3;4;4;3;3;4;3;3;4;3;0;3;3;3;4;3;4;3;4;3;2;3;2;2;1;1;1;0;1;1;1;0;0;0
21002A15-;SOUVERAIN (BLV DU)- BUILDINGS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A11-;SACRE-COEUR;3;3;3;3;2;3;4;3;3;2;3;3;3;3;4;3;0;5;5;3;3;3;3;3;3;3;2;2;3;2;1;1;2;1;1;1;2;0;0;0
21002A10-;TRANSVAAL;3;2;4;4;3;4;4;4;3;3;2;2;3;2;3;3;4;3;4;3;4;3;4;4;3;2;3;2;2;2;2;1;2;1;1;0;1;0;0;0
21002A14-;TEN REUKEN;2;1;3;3;4;3;4;6;3;4;3;2;1;2;4;3;0;2;3;6;3;3;3;3;3;2;3;3;2;2;2;1;1;1;2;0;0;0;0;0
21002A12-;AVENUE SCHALLER;3;2;3;3;3;4;3;4;3;4;2;2;3;2;4;3;0;3;4;3;3;3;3;3;3;2;2;2;2;2;2;1;2;1;2;1;1;0;0;0
21002A43-;SOUVERAIN (BOULEVARD DU) NORD;3;5;4;4;2;3;2;2;2;2;3;4;5;5;6;6;0;5;4;4;2;3;3;3;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0
21002A091;TROIS COULEURS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A422;AVENUE IS.GERARD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A072;CENTRE COMMERCIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A041;VIGNETTE;3;4;3;3;3;4;3;4;5;3;3;5;4;3;3;4;0;3;4;4;4;4;3;3;4;3;2;1;1;1;2;1;1;0;1;0;0;0;0;0
21002A01-;SAINTE-ANNE;3;5;4;3;3;4;3;4;2;3;3;2;4;3;4;3;0;5;3;3;3;2;4;3;1;2;3;2;2;2;1;1;1;1;0;0;0;0;0;0
21002A52-;BEAULIEU;4;3;2;3;4;4;3;3;3;3;4;3;3;3;4;3;0;4;3;3;3;3;4;2;3;3;3;2;2;2;2;0;1;0;2;1;0;0;0;0
21003A38-;KONINCKXBOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21003A312;POTAARDE  VLAK;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;4;3;2;3;4;3;4;4;3;3;2;2;2;2;2;2;2;2;1;1;0;0;0;0
21003A323;SEPT ETOILES;3;3;4;3;2;3;3;3;2;3;3;3;3;2;4;3;0;3;3;3;5;4;3;3;3;3;3;2;3;2;2;2;1;1;1;1;1;0;0;0
21003A342;HOGENBOS;3;3;3;3;3;3;2;4;3;2;2;2;3;2;3;4;0;4;3;4;4;3;5;5;5;4;3;4;2;2;1;1;1;0;1;1;0;0;0;0
21003A331;ALLEE VERTE;5;6;3;4;4;4;3;4;3;3;4;3;5;3;5;5;0;3;2;3;3;4;2;2;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0
21003A04-;L. DE SMET;3;4;4;4;4;3;3;3;3;3;1;3;3;3;5;3;0;4;3;4;3;3;4;3;2;3;2;2;2;1;2;2;1;1;1;0;0;0;0;0
21003A0AJ;HUNDERENVELD;3;4;4;5;6;5;4;6;2;3;2;2;3;2;4;2;0;2;3;2;3;3;4;3;3;2;3;2;3;1;2;1;1;1;0;0;0;0;0;0
21003A02-;LAURE - BASILIQUE;4;4;4;4;3;3;3;3;2;3;4;3;4;3;4;3;4;4;3;3;3;3;3;3;3;2;2;2;2;2;1;1;2;1;2;1;1;0;0;0
21003A03-;HAUT-CHAMP;3;3;3;3;2;3;3;3;3;3;4;3;3;2;3;3;0;3;3;4;4;4;3;3;3;4;2;3;2;3;1;2;2;1;1;1;1;0;0;0
21003A011;MOLENBERG;4;3;4;4;4;3;4;4;3;3;4;3;4;3;3;4;0;3;4;4;4;3;3;3;3;2;2;2;1;1;1;1;0;0;1;0;0;0;0;0
21003A212;CLOS DU ZAVELENBERG;4;3;4;5;4;3;5;3;3;4;4;3;4;3;3;4;0;4;4;2;3;3;2;2;1;2;2;2;2;1;1;1;0;1;0;0;1;0;0;0
21003A00-;CENTRE;5;4;4;4;4;4;3;3;3;3;4;3;4;4;4;4;3;4;3;3;3;3;2;3;3;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0
21003A283;ZAVELENBERG;5;4;4;3;3;2;2;1;3;3;4;2;5;4;3;4;0;3;5;2;4;1;3;3;2;3;3;1;2;3;4;1;1;0;0;0;0;0;0;0
21003A11-;CITE MODERNE;3;2;5;5;6;7;5;6;3;3;2;1;2;1;3;2;0;3;4;3;4;4;2;2;3;2;1;1;2;1;1;1;2;1;1;1;0;0;0;0
21003A05-;DE SELLIERS DE MORANVILLE;3;4;3;4;3;3;3;3;3;3;4;4;4;4;3;4;0;4;3;4;3;3;3;4;3;2;2;2;2;1;1;1;1;1;2;0;1;0;0;0
21003A41-;MONNET;4;4;4;4;4;2;2;2;2;2;4;4;5;3;4;4;0;3;3;3;2;2;3;3;2;1;3;1;2;1;3;2;2;1;2;1;0;0;0;0
21003A2MJ;GARE;4;4;3;4;2;3;2;3;2;2;5;3;7;4;4;5;0;4;3;5;4;3;1;2;3;2;3;2;1;2;1;0;1;1;1;0;0;0;0;0
