SECTOR;TX_SECTOR_WORK_DESCR_FR;Sum of OBS_VALUE;Nb Actualisé
21005A21-;PORTE DE TERVUEREN - BRAFFORT;52;54
21005A22-;PORTE DE TERVUEREN - L. DE LANTSHEERE (RUE);367;383
21005A311;CASERNE;4343;4528
21005A33-;CARDINAL LAVIGERIE (RUE);105;109
21005ZZZZ;COMMUNE DE ETTERBEEK: NON LOCALISABLE DANS UN SECTEUR;2049;2136
21006A001;VIEIL EVERE;176;183
21006A011;CENTRE;83;87
21006A03-;BLOCS SAINT-VINCENT;9;9
21006A042;KERKHOEK;95;99
21006A052;CHAMP DE REPOS;107;112
21006A094;BON PASTEUR;320;334
21006A101;CONSCIENCE;932;972
21006A11-;OASIS - PROVENCE - LANGUEDOC;65;68
21006A12-;GERMINAL I;10;10
21006A13-;MAISON COMMUNALE;90;94
21006A142;ED. DEKNOOP (RUE);33;34
21006A153;KEET;61;64
21006A171;ANCIEN COMBATTANTS (AVENUE);2002;2087
21006A201;HAUT-EVERE;109;114
21006A21-;HOME FAMILIAL BRABANT;13;14
21006A22-;SAINT-EXUPERY;4;4
21006A23-;DU BONHEUR;240;250
21006A25-;GIBET;6;6
21006A272;QUARTIER GROSJEAN;835;870
21006A312;J. BORDET (AVENUE DE);1837;1915
21006A323;GERMINAL II;7;7
21006A37-;ZONE INDUSTRIELLE;4903;5111
21006A403;QUARTIER CICERO;104;108
21006A414;P. DUPONT (RUE);126;131
21006A474;COMMUNAUTES;349;364
21006A48-;CIMETIERE BRUXELLES;1;1
21006A515;CARLI;221;230
21006ZZZZ;COMMUNE DE EVERE: NON LOCALISABLE DANS UN SECTEUR;2052;2139
21007A00-;CENTRE SAINT-DENIS;592;617
21007A01-;CURE D'ARS;196;204
21007A02-;STUART MERRIL;21;22
21007A03-;FOYER FORESTOIS - FAMILLE;6;6
21007A04-;FOYER FORESTOIS - MADELON;10;10
21007A05-;NEERSTALLE;106;111
21007A06-;KATANGA;13;14
21007A071;BOLLINCKX;3774;3934
21007A082;BEMPT;622;648
21007A101;BOURGOGNE;169;176
21007A111;MESSIDOR I;7;7
21007A12-;HAVESKERCKE;52;54
21007A132;DENAYER (RUE);4;4
21007A142;MONTE CARLO;10;10
21007A201;ROOSENDAEL (RUE);83;87
21007A21-;MAGNANERIE;4;4
21007A239;NEPTUNE (AVENUE) I;46;48
21007A242;GLOBE;173;180
21007A291;FOREST NATIONAL - STADE;17;18
21007A373;CHARROI (RUE DE);31;32
21007A40-;PONT DE LUTTRE;77;80
21007A41-;PONT DE LUTTRE-OUEST;97;101
21007A50-;BERANGER;159;166
21007A51-;CHATAIGNE;67;70
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;81;84
21007A53-;WIELEMANS CEUPPENS;89;93
21007A541;LYCEE;62;65
21007A552;REINE MARIE-HENRIETTE;19;20
21007A60-;SAINT-ANTOINE;80;83
21007A61-;MONTENEGRO (RUE);700;730
21007A70-;ALTITUDE  CENT;269;280
21007A71-;CHAUSSEE D'ALSEMBERG;90;94
21007A72-;MOLIERE;145;151
21007A73-;BERCKENDAEL (RUE);576;600
21007A75-;TOURNOI (RUE DU);109;114
21007A783;PARC DE FOREST;9;9
21007A79-;PARC DUDEN;11;11
21007A814;VILLAS - MONT KEMMEL;3;3
21007ZZZZ;COMMUNE DE FOREST (BRUXELLES-CAPITALE): NON LOCALISABLE DANS UN SECTEUR;478;498
21008A00-;CENTRE;211;220
21008A01-;VAN PAGE-SUD;13;14
21008A02-;SIPPELBERG;313;326
21008A10-;PLATEAU;256;267
21008A19-;BASILIQUE;2;2
21008A20-;CHARLES-QUINT;298;311
21008A21-;MAIL;67;70
21008A220;VILLAS DE GANSHOREN (OUEST);17;18
21008A23-;DE MESMAEKER;15;16
21008A240;REFORME;83;87
21008A27-;NESTOR MARTIN;275;287
21008A29-;RIVIERE MOLENBEEK;78;81
21008A30-;LE HOME;16;17
21008A31-;TOUSSAINT;17;18
21008A32-;HEIDEKEN;42;44
21008A33-;VAN PAGE-NORD;76;79
21008A34-;PARC ALBERT;9;9
21008A35-;CHARTE;17;18
21008ZZZZ;COMMUNE DE GANSHOREN: NON LOCALISABLE DANS UN SECTEUR;206;215
21009A00-;CENTRE;486;507
21009A01-;BLYCKAERTS;245;255
21009A02-;MUSEE;97;101
21009A03-;ERMITAGE;541;564
21009A041;ARBRE BENIT;702;732
21009A051;SAINT-BONIFACE;698;728
21009A101;FLAGEY (PLACE);48;50
21009A111;WERY (RUE);238;248
21009A121;GENERAL DE GAULLE;68;71
21009A13-;GACHARD;202;211
