Code;Territoire;Commune;Surface_ss;Surface_commune;Rapport_surface;Nb_touristes_Commune;Nb_touristes_ss
21004D672;QUAI DE WILLEBROECK;Bruxelles;0,088;33,07572;0,002660562;5426,131507;14,43655868
21004E14-;ECOLE DES CADETS;Bruxelles;0,40231;33,07572;0,012163303;5426,131507;65,99968093
21004F522;AVENUE DE VERSAILLES;Bruxelles;0,31183;33,07572;0,009427762;5426,131507;51,15627378
21004E82-;CITE MODELE;Bruxelles;0,25301;33,07572;0,007649418;5426,131507;41,50674672
21004E222;MUTSAARD (AVENUE);Bruxelles;0,10652;33,07572;0,003220489;5426,131507;17,47479807
21004E81-;DISQUE (RUE DU);Bruxelles;0,10798;33,07572;0,00326463;5426,131507;17,71431371
21004D600;PARVIS SAINT-ROCH;Bruxelles;0,05328;33,07572;0,001610849;5426,131507;8,740680072
21004D610;ANVERS (CHAUSSEE D')-SUD;Bruxelles;0,24824;33,07572;0,007505203;5426,131507;40,72421962
21004E8NJ;HOPITAL BRUGMANN;Bruxelles;0,20501;33,07572;0,006198202;5426,131507;33,63226017
21005A10-;GENERAL HENRI (RUE);Etterbeek;0,20171;3,17535;0,063523706;352,060274;22,36417336
21005A042;PH. BAUCQ (RUE);Etterbeek;0,16131;3,17535;0,050800699;352,060274;17,88490806
21005A02-;CHAMP DU ROI (RUE);Etterbeek;0,13029;3,17535;0,041031697;352,060274;14,44563059
21005A33-;CARDINAL LAVIGERIE (RUE);Etterbeek;0,07254;3,17535;0,022844726;352,060274;8,042720416
21005A14-;ARMEE (AVENUE DE L');Etterbeek;0,23637;3,17535;0,074439038;352,060274;26,20702819
21005A13-;LA CHASSE;Etterbeek;0,06835;3,17535;0,021525186;352,060274;7,578162951
21005A082;COURS ST-MICHEL;Etterbeek;0,07607;3,17535;0,023956414;352,060274;8,434101766
21005A01-;SAINTE-GERTRUDE;Etterbeek;0,19692;3,17535;0,062015211;352,060274;21,83309215
21005A322;NOUVELLE AVENUE-SUD;Etterbeek;0,01204;3,17535;0,003791708;352,060274;1,334909758
21005A311;CASERNE (Etterbeek);Etterbeek;0,27627;3,17535;0,087004582;352,060274;30,63085704
21005A20-;PORTE DE TERVUEREN - TONGRES;Etterbeek;0,13596;3,17535;0,042817327;352,060274;15,07427995
21005A15-;SAINT-MICHEL COLLEGE;Etterbeek;0,29684;3,17535;0,093482608;352,060274;32,91151266
21005A031;MAELBEEK;Etterbeek;0,09182;3,17535;0,028916497;352,060274;10,18034999
21005A051;RINSDELLE;Etterbeek;0,22102;3,17535;0,069604925;352,060274;24,50512912
21005A11-;NOTRE-DAME DU SACRE-COEUR;Etterbeek;0,18665;3,17535;0,058780922;352,060274;20,69442743
21005A00-;HOTEL COMMUNAL;Etterbeek;0,26853;3,17535;0,084567056;352,060274;29,77270076
21005A29-;CINQUANTENAIRE (PARC);Etterbeek;0,05753;3,17535;0,018117688;352,060274;6,378518136
21005A12-;SAINT-ANTOINE;Etterbeek;0,34158;3,17535;0,107572394;352,060274;37,87196636
21005A22-;PORTE DE TERVUEREN - L. DE LAN;Etterbeek;0,0871;3,17535;0,027430047;352,060274;9,657029891
21005A21-;PORTE DE TERVUEREN - BRAFFORT;Etterbeek;0,05646;3,17535;0,017780717;352,060274;6,259884129
21006A12-;GERMINAL I;Evere;0,05611;5,1286;0,010940608;243,0958904;2,65961674
21006A11-;OASIS - PROVENCE - LANGUEDOC;Evere;0,19047;5,1286;0,03713879;243,0958904;9,0282873
21006A153;KEET;Evere;0,09584;5,1286;0,018687361;243,0958904;4,54282068
21006A13-;MAISON COMMUNALE;Evere;0,09687;5,1286;0,018888196;243,0958904;4,59164273
21006A02-;IEDER ZIJN HUIS - STROOBANTS;Evere;0,03465;5,1286;0,00675623;243,0958904;1,642411692
21006A073;GARE DE FORMATION;Evere;0,21776;5,1286;0,042459931;243,0958904;10,32183463
21006A03-;BLOCS SAINT-VINCENT;Evere;0,01839;5,1286;0,003585774;243,0958904;0,871686898
21006A094;BON PASTEUR;Evere;0,30971;5,1286;0,0603888;243,0958904;14,68026912
21006A515;CARLI;Evere;0,13021;5,1286;0,025388995;243,0958904;6,171960358
21006A24-;IEDER ZIJN HUIS - ZAVENTEM;Evere;0,06213;5,1286;0,012114417;243,0958904;2,944965034
21006A403;QUARTIER CICERO;Evere;0,09427;5,1286;0,018381235;243,0958904;4,468402603
21006A474;COMMUNAUTES;Evere;0,16365;5,1286;0,031909293;243,0958904;7,75701799
21006A201;HAUT-EVERE;Evere;0,20832;5,1286;0,040619272;243,0958904;9,874378172
21006A272;QUARTIER GROSJEAN;Evere;0,17591;5,1286;0,034299809;243,0958904;8,338142589
21006A21-;HOME FAMILIAL BRABANT;Evere;0,12303;5,1286;0,023989003;243,0958904;5,831628007
21006A23-;DU BONHEUR;Evere;0,19657;5,1286;0,038328199;243,0958904;9,317427598
21006A37-;ZONE INDUSTRIELLE;Evere;0,33561;5,1286;0,065438911;243,0958904;15,90793039
21006A312;J. BORDET (AVENUE DE);Evere;0,10249;5,1286;0,019984011;243,0958904;4,858031004
21006A101;CONSCIENCE;Evere;0,24039;5,1286;0,046872441;243,0958904;11,39449774
21006A001;VIEIL EVERE;Evere;0,19536;5,1286;0,038092267;243,0958904;9,260073539
21006A414;P. DUPONT (RUE);Evere;0,24636;5,1286;0,048036501;243,0958904;11,67747603
21006A171;ANCIEN COMBATTANTS (AVENUE);Evere;0,45502;5,1286;0,088722068;243,0958904;21,56797022
21006A25-;GIBET;Evere;0,13175;5,1286;0,025689272;243,0958904;6,244956433
21006A48-;CIMETIERE BRUXELLES;Evere;0,49063;5,1286;0,095665484;243,0958904;23,25588596
21006A22-;SAINT-EXUPERY;Evere;0,09644;5,1286;0,018804352;243,0958904;4,571260709
21006A011;CENTRE;Evere;0,18526;5,1286;0,036122919;243,0958904;8,781333046
21006A142;ED. DEKNOOP (RUE);Evere;0,05871;5,1286;0,011447569;243,0958904;2,782856867
21006A042;KERKHOEK;Evere;0,15214;5,1286;0,029665016;243,0958904;7,211443428
21006A052;CHAMP DE REPOS;Evere;0,17801;5,1286;0,034709277;243,0958904;8,437682692
21006A323;GERMINAL II;Evere;0,08648;5,1286;0,016862302;243,0958904;4,099156223
21007A03-;FOYER FORESTOIS - FAMILLE;Forest;0,067;6,30401;0,010628156;0;0
21007A252;MESSIDOR II;Forest;0,01388;6,30401;0,002201773;0;0
21007A201;ROOSENDAEL (RUE);Forest;0,21682;6,30401;0,034393981;0;0
21007A21-;MAGNANERIE;Forest;0,02295;6,30401;0,00364054;0;0
21007A291;FOREST NATIONAL - STADE;Forest;0,10381;6,30401;0,016467296;0;0
21007A242;GLOBE;Forest;0,02735;6,30401;0,004338508;0;0
21007A75-;TOURNOI (RUE DU);Forest;0,05345;6,30401;0,00847873;0;0
21007A814;VILLAS - MONT KEMMEL;Forest;0,01124;6,30401;0,001782992;0;0
21007A111;MESSIDOR I;Forest;0,09688;6,30401;0,015367996;0;0
21007A41-;PONT DE LUTTRE-OUEST;Forest;0,05055;6,30401;0,008018706;0;0
21007A142;MONTE CARLO;Forest;0,10538;6,30401;0,016716344;0;0
21007A53-;WIELEMANS CEUPPENS;Forest;0,15073;6,30401;0,023910178;0;0
21007A50-;BERANGER;Forest;0,14494;6,30401;0,022991715;0;0
21007A51-;CHATAIGNE;Forest;0,07366;6,30401;0,011684626;0;0
21007A552;REINE MARIE-HENRIETTE;Forest;0,06218;6,30401;0,009863563;0;0
21007A541;LYCEE;Forest;0,04293;6,30401;0,006809951;0;0
21007A61-;MONTENEGRO (RUE);Forest;0,17225;6,30401;0,027323878;0;0
21007A06-;KATANGA;Forest;0,02832;6,30401;0,004492379;0;0
21007A04-;FOYER FORESTOIS - MADELON;Forest;0,03663;6,30401;0,005810587;0;0
21007A00-;CENTRE SAINT-DENIS;Forest;0,29429;6,30401;0,046682984;0;0
21007A101;BOURGOGNE;Forest;0,16534;6,30401;0,02622775;0;0
21007A783;PARC DE FOREST;Forest;0,18084;6,30401;0,028686503;0;0
21007A373;CHARROI (RUE DE);Forest;0,25237;6,30401;0,040033249;0;0
21007A071;BOLLINCKX;Forest;1,25228;6,30401;0,198648162;0;0
21007A70-;ALTITUDE  CENT;Forest;0,21098;6,30401;0,033467587;0;0
21007A239;NEPTUNE (AVENUE) I;Forest;0,13862;6,30401;0,021989178;0;0
21007A05-;NEERSTALLE;Forest;0,13205;6,30401;0,020946985;0;0
21007A082;BEMPT;Forest;0,66815;6,30401;0,105988093;0;0
21007A01-;CURE D'ARS;Forest;0,14394;6,30401;0,022833086;0;0
21007A132;DENAYER (RUE);Forest;0,02049;6,30401;0,003250312;0;0
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;Forest;0,09659;6,30401;0,015321993;0;0
21007A40-;PONT DE LUTTRE;Forest;0,09417;6,30401;0,014938111;0;0
21007A02-;STUART MERRIL;Forest;0,10678;6,30401;0,016938425;0;0
21007A12-;HAVESKERCKE;Forest;0,05441;6,30401;0,008631014;0;0
21007A60-;SAINT-ANTOINE;Forest;0,1445;6,30401;0,022921918;0;0
21007A73-;BERCKENDAEL (RUE);Forest;0,25157;6,30401;0,039906345;0;0
21007A72-;MOLIERE;Forest;0,25318;6,30401;0,040161738;0;0
21007A71-;CHAUSSEE D'ALSEMBERG;Forest;0,05683;6,30401;0,009014897;0;0
21007A79-;PARC DUDEN;Forest;0,30569;6,30401;0,048491357;0;0
21008A31-;TOUSSAINT;Ganshoren;0,03244;2,43371;0,013329444;0;0
21008A30-;LE HOME;Ganshoren;0,11982;2,43371;0,049233475;0;0
21008A00-;CENTRE;Ganshoren;0,09455;2,43371;0,038850151;0;0
21008A38-;PARC DE RIVIEREN;Ganshoren;0,0654;2,43371;0,026872553;0;0
21008A27-;NESTOR MARTIN;Ganshoren;0,09325;2,43371;0,038315987;0;0
21008A220;VILLAS DE GANSHOREN (OUEST);Ganshoren;0,19704;2,43371;0,08096281;0;0
21008A02-;SIPPELBERG;Ganshoren;0,17956;2,43371;0,07378036;0;0
21008A34-;PARC ALBERT;Ganshoren;0,13251;2,43371;0,054447736;0;0
21008A35-;CHARTE;Ganshoren;0,04204;2,43371;0,017274038;0;0
21008A240;REFORME;Ganshoren;0,10824;2,43371;0,044475307;0;0
21008A23-;DE MESMAEKER;Ganshoren;0,15997;2,43371;0,065730921;0;0
21008A20-;CHARLES-QUINT;Ganshoren;0,18002;2,43371;0,073969372;0;0
21008A29-;RIVIERE MOLENBEEK;Ganshoren;0,39033;2,43371;0,160384762;0;0
21008A01-;VAN PAGE-SUD;Ganshoren;0,04841;2,43371;0,019891441;0;0
21008A33-;VAN PAGE-NORD;Ganshoren;0,09788;2,43371;0,040218432;0;0
21008A32-;HEIDEKEN;Ganshoren;0,08349;2,43371;0,034305649;0;0
21008A10-;PLATEAU;Ganshoren;0,21268;2,43371;0,087389212;0;0
21008A19-;BASILIQUE;Ganshoren;0,04428;2,43371;0,018194444;0;0
21008A21-;MAIL;Ganshoren;0,1518;2,43371;0,062373907;0;0
21009A20-;PETITE SUISSE (PLACE DE LA);Ixelles;0,19691;6,40654;0,030735779;792,4520548;24,35663152
21009A23-;ETOILE (ROND POINT DE L');Ixelles;0,14734;6,40654;0,022998374;792,4520548;18,22510837
21009A623;KLAUWAERTS;Ixelles;0,02563;6,40654;0,004000599;792,4520548;3,170283205
21009A90-;SAINT-PHILIPPE DE NERI;Ixelles;0,13788;6,40654;0,021521757;792,4520548;17,05496092
21009A652;HOPITAUX;Ixelles;0,1346;6,40654;0,021009781;792,4520548;16,64924383
21009A501;LUXEMBOURG (PLACE DE);Ixelles;0,05924;6,40654;0,009246801;792,4520548;7,327646394
21009A552;PORTE DE NAMUR;Ixelles;0,09896;6,40654;0,015446715;792,4520548;12,24078135
21009A542;EGLISE ANGLICANE;Ixelles;0,05805;6,40654;0,009061053;792,4520548;7,180450256
21009A051;SAINT-BONIFACE;Ixelles;0,06877;6,40654;0,010734343;792,4520548;8,506452439
21009A041;ARBRE BENIT;Ixelles;0,14153;6,40654;0,022091488;792,4520548;17,50644487
21009A00-;CENTRE;Ixelles;0,13283;6,40654;0,0207335;792,4520548;16,43030504
21009A02-;MUSEE;Ixelles;0,12195;6,40654;0,019035236;792,4520548;15,08451178
21009A101;FLAGEY (PLACE);Ixelles;0,07302;6,40654;0,011397728;792,4520548;9,032152931
21009A03-;ERMITAGE;Ixelles;0,14355;6,40654;0,022406791;792,4520548;17,75630722
21009A13-;GACHARD;Ixelles;0,08069;6,40654;0,012594942;792,4520548;9,980887702
21009A121;GENERAL DE GAULLE;Ixelles;0,09199;6,40654;0,014358765;792,4520548;11,37863254
21009A63-;MACAU;Ixelles;0,15681;6,40654;0,024476551;792,4520548;19,39649276
21009A602;BELVEDERE;Ixelles;0,04199;6,40654;0,00655424;792,4520548;5,193920865
21009A42-;RENIER CHALON;Ixelles;0,19108;6,40654;0,029825772;792,4520548;23,63549414
21009A40-;MELEZES;Ixelles;0,14019;6,40654;0,021882326;792,4520548;17,3406946
21009A301;BOONDAEL-NORD;Ixelles;0,07804;6,40654;0,012181302;792,4520548;9,653097984
