CD;SECTOR;TX_SECTOR_RESIDENCE_DESCR_FR;Sum of OBS_VALUE;Corrected_val;ratio_idem_partout;;;;
BE100;21004G30-;SAINTE-ELISABETH;207;282;1,362176683;;;;
BE100;21004G310;HAREN-SUD-OUEST;62;84;1,362176683;;;;
BE100;21004G321;HAREN-EST;65;89;1,362176683;;;;
BE100;21004G3MJ;DOBBELENBERG;22;30;1,362176683;;;;
BE100;21004G3NJ;HAREN-SUD;9;12;1,362176683;;;;
BE100;21004ZZZZ;COMMUNE DE BRUXELLES: NON LOCALISABLE DANS UN SECTEUR;5;7;1,362176683;;;;
BE100;21005A00-;HOTEL COMMUNAL;243;331;1,362176683;;;;
BE100;21005A01-;SAINTE-GERTRUDE;247;336;1,362176683;;;;
BE100;21005A02-;CHAMP DU ROI (RUE);177;241;1,362176683;;;;
BE100;21005A031;MAELBEEK;83;113;1,362176683;;;;
BE100;21005A042;PH. BAUCQ (RUE);320;436;1,362176683;;;;
BE100;21005A051;RINSDELLE;238;324;1,362176683;;;;
BE100;21005A082;COURS ST-MICHEL;10;14;1,362176683;;;;
BE100;21005A10-;GENERAL HENRI (RUE);173;236;1,362176683;;;;
BE100;21005A11-;NOTRE-DAME DU SACRE-COEUR;247;336;1,362176683;;;;
BE100;21005A12-;SAINT-ANTOINE;353;481;1,362176683;;;;
BE100;21005A13-;LA CHASSE;112;153;1,362176683;;;;
BE100;21005A14-;ARMEE (AVENUE DE L');185;252;1,362176683;;;;
BE100;21005A15-;SAINT-MICHEL COLLEGE;120;163;1,362176683;;;;
BE100;21005A20-;PORTE DE TERVUEREN - TONGRES;111;151;1,362176683;;;;
BE100;21005A21-;PORTE DE TERVUEREN - BRAFFORT;45;61;1,362176683;;;;
BE100;21005A22-;PORTE DE TERVUEREN - L. DE LANTSHEERE (RUE);79;108;1,362176683;;;;
BE100;21005A311;CASERNE;96;131;1,362176683;;;;
BE100;21005A322;NOUVELLE AVENUE-SUD;7;10;1,362176683;;;;
BE100;21005A33-;CARDINAL LAVIGERIE (RUE);126;172;1,362176683;;;;
BE100;21005ZZZZ;COMMUNE DE ETTERBEEK: NON LOCALISABLE DANS UN SECTEUR;2;3;1,362176683;;;;
BE100;21006A001;VIEIL EVERE;197;268;1,362176683;;;;
BE100;21006A011;CENTRE;175;238;1,362176683;;;;
BE100;21006A02-;IEDER ZIJN HUIS - STROOBANTS;20;27;1,362176683;;;;
BE100;21006A03-;BLOCS SAINT-VINCENT;44;60;1,362176683;;;;
BE100;21006A042;KERKHOEK;73;99;1,362176683;;;;
BE100;21006A052;CHAMP DE REPOS;180;245;1,362176683;;;;
