Code;Territoire;Population totale;Nombre de femmes;Nombre d'hommes
21005A042;PH. BAUCQ (RUE);4361;2196;2165
21005A02-;CHAMP DU ROI (RUE);2941;1495;1446
21005A33-;CARDINAL LAVIGERIE (RUE);1519;797;722
21005A14-;ARMEE (AVENUE DE L');3265;1712;1553
21005A13-;LA CHASSE;1454;745;709
21005A082;COURS ST-MICHEL;275;150;125
21005A01-;SAINTE-GERTRUDE;3529;1810;1719
21005A322;NOUVELLE AVENUE-SUD;350;206;144
21005A311;CASERNE (Etterbeek);1733;912;821
21005A20-;PORTE DE TERVUEREN - TONGRES;1822;968;854
21005A15-;SAINT-MICHEL COLLEGE;2004;1053;951
21005A031;MAELBEEK;1649;876;773
21005A051;RINSDELLE;4296;2308;1988
21005A11-;NOTRE-DAME DU SACRE-COEUR;3233;1755;1478
21005A00-;HOTEL COMMUNAL;3822;1966;1856
21005A29-;CINQUANTENAIRE (PARC);0;0;0
21005A12-;SAINT-ANTOINE;6722;3338;3384
21005A22-;PORTE DE TERVUEREN - L. DE LAN;1097;558;539
21005A21-;PORTE DE TERVUEREN - BRAFFORT;750;405;345
21006A12-;GERMINAL I;777;439;338
21006A11-;OASIS - PROVENCE - LANGUEDOC;880;453;427
21006A153;KEET;1258;671;587
21006A13-;MAISON COMMUNALE;1466;772;694
21006A02-;IEDER ZIJN HUIS - STROOBANTS;638;373;265
21006A073;GARE DE FORMATION;0;0;0
21006A03-;BLOCS SAINT-VINCENT;789;438;351
21006A094;BON PASTEUR;441;248;193
21006A515;CARLI;1077;536;541
21006A24-;IEDER ZIJN HUIS - ZAVENTEM;544;287;257
21006A403;QUARTIER CICERO;1953;1002;951
21006A474;COMMUNAUTES;1085;530;555
21006A201;HAUT-EVERE;2590;1361;1229
21006A272;QUARTIER GROSJEAN;104;77;27
21006A21-;HOME FAMILIAL BRABANT;1151;620;531
21006A23-;DU BONHEUR;2959;1575;1384
21006A37-;ZONE INDUSTRIELLE;154;70;84
