Code;Territoire;Commune;% pop ss /commune;Nb_lits_commune;Nb_lits_ss
21004F9MJ;NEDER-HEEMBEEK-NORD;Bruxelles;0,007957034;2495;19,85280037
21004A02-;SAINT-FRANCOIS XAVIER;Bruxelles;0,009024575;2495;22,51631577
21004A70-;BLAES (RUE)-SUD;Bruxelles;0,026275822;2495;65,55817549
21004A1MJ;COLONIES (RUE DES);Bruxelles;0,000225614;2495;0,562907894
21004A03-;BON SECOURS - PALAIS DU MIDI;Bruxelles;0,01137977;2495;28,39252501
21004A19-;PALAIS ROYAL;Bruxelles;0,000192598;2495;0,480531129
21004A23-;NOUVEAU MARCHE AU GRAIN;Bruxelles;0,018060156;2495;45,06009047
21004A10-;GARE CENTRALE;Bruxelles;0,000440223;2495;1,098356867
21004A01-;VIEILLE HALLE AUX BLES;Bruxelles;0,005211142;2495;13,00179941
21004A22-;SENNE (RUE DE LA);Bruxelles;0,019375323;2495;48,34143161
21004B10-;ORBAN (SQUARE);Bruxelles;0,002305669;2495;5,752644091
21004A72-;SAINT-THOMAS (INSTITUT);Bruxelles;0,00897505;2495;22,39275062
21004A71-;BLAES (RUE)-CENTRE;Bruxelles;0,009343737;2495;23,3126245
21004A002;BOURSE;Bruxelles;0,003103574;2495;7,743415912
21004A34-;MONNAIE;Bruxelles;0,005634857;2495;14,0589679
21004A15-;JACOBS (PLACE);Bruxelles;0,003158601;2495;7,88071052
21004A04-;NOTRE-DAME DE LA CHAPELLE;Bruxelles;0,00644927;2495;16,0909281
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;Bruxelles;0,014945577;2495;37,28921563
21004A20-;BOURSE-NORD-OUEST;Bruxelles;0,013630411;2495;34,00787449
21004A14-;GRAND SABLON;Bruxelles;0,009976558;2495;24,8915125
21004A001;GRAND-PLACE;Bruxelles;0,004671869;2495;11,65631225
21004A32-;CONGRES - GARE;Bruxelles;0,007005052;2495;17,47760365
21004A30-;SAINT-MICHEL ET GUDULE;Bruxelles;0,000110056;2495;0,274589217
21004C52-;LOUISE (AVENUE)-NORD-OUEST;Bruxelles;0,006240164;2495;15,56920859
21004A12-;REGENT (BOULEVARD DU);Bruxelles;0,00084743;2495;2,114336969
21004C552;LOUISE (AVENUE)-SUD;Bruxelles;0,009338234;2495;23,29889504
21004B112;RUE DU COMMERCE;Bruxelles;0,000225614;2495;0,562907894
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;Bruxelles;0,000742877;2495;1,853477213
21004C51-;LOUISE (AVENUE)-NORD-EST;Bruxelles;0,005662371;2495;14,1276152
21004A33-;LIBERTE (PLACE DE LA);Bruxelles;0,012838009;2495;32,03083213
21004C53-;LOUISE (AVENUE)-SUD-OUEST;Bruxelles;0,004374718;2495;10,91492137
21004C501;LOUISE (AVENUE)-NORD;Bruxelles;0,00307606;2495;7,674768608
21004A21-;ANNEESSENS (PLACE);Bruxelles;0,035889196;2495;89,54354358
21004A13-;PETIT SABLON;Bruxelles;0,005057064;2495;12,61737451
21004E70-;MARIE-CHRISTINE (RUE);Bruxelles;0,031305372;2495;78,1069027
21004E74-;EM. DELVA (RUE);Bruxelles;0,045915279;2495;114,5586212
21004E201;AVENUE JEAN DE BOLOGNE;Bruxelles;0,030100261;2495;75,10015078
21004E83-;STIENON (AVENUE);Bruxelles;0,024344343;2495;60,73913474
21004E8MJ;HEYSEL;Bruxelles;0,001007011;2495;2,512491333
21004E130;SACRE-COEUR;Bruxelles;0,029715066;2495;74,13908852
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;Bruxelles;0,021669987;2495;54,06661677
21004E72-;MAISON ROUGE (PLACE)-SUD;Bruxelles;0,033737605;2495;84,17532439
21004E193;N.D. DE LAEKEN;Bruxelles;0;2495;0
21004D64-;MASUI (PLACE)-NORD;Bruxelles;0,005634857;2495;14,0589679
21004E112;RUE DES CHRYSANTHEMES;Bruxelles;0,002943993;2495;7,345261548
21004D62-;ANVERS (CHAUSSEE D')-NORD;Bruxelles;0,019738507;2495;49,24757602
21004E211;RUE DE WAND;Bruxelles;0,005189131;2495;12,94688157
21004D631;ALLEE VERTE - BASSIN VERGOTE;Bruxelles;0,003164104;2495;7,894439981
21004E12-;PRINCE LEOPOLD (SQUARE);Bruxelles;0,030292858;2495;75,58068191
21004D6NJ;TOUR ET TAXIS;Bruxelles;0,001727876;2495;4,311050703
21004A822;RUE DES COMMERCANTS;Bruxelles;0,003796925;2495;9,473327977
21004E800;DIVIN JESUS;Bruxelles;0,006790443;2495;16,94215467
21004E233;DE MEYSSE (AVENUE);Bruxelles;0,003714383;2495;9,267386065
21004E101;PARVIS NOTRE DAME;Bruxelles;0,011869518;2495;29,61444702
21004A811;QUAI DU COMMERCE;Bruxelles;0,014466835;2495;36,09475254
21004D672;QUAI DE WILLEBROECK;Bruxelles;0,00641075;2495;15,99482187
21004E14-;ECOLE DES CADETS;Bruxelles;0,016167197;2495;40,33715594
21004F522;AVENUE DE VERSAILLES;Bruxelles;0,013388288;2495;33,40377822
21004E82-;CITE MODELE;Bruxelles;0,019826552;2495;49,46724739
21004E222;MUTSAARD (AVENUE);Bruxelles;0,01418069;2495;35,38082058
21004E81-;DISQUE (RUE DU);Bruxelles;0,007670889;2495;19,13886841
21004D600;PARVIS SAINT-ROCH;Bruxelles;0,006867482;2495;17,13436712
21004D610;ANVERS (CHAUSSEE D')-SUD;Bruxelles;0,01569946;2495;39,17015177
21004E8NJ;HOPITAL BRUGMANN;Bruxelles;0,000104553;2495;0,260859756
21005A10-;GENERAL HENRI (RUE);Etterbeek;0,072818244;421;30,65648066
21005A042;PH. BAUCQ (RUE);Etterbeek;0,090164782;421;37,95937313
21005A02-;CHAMP DU ROI (RUE);Etterbeek;0,060805921;421;25,59929291
21005A33-;CARDINAL LAVIGERIE (RUE);Etterbeek;0,031405711;421;13,22180412
21005A14-;ARMEE (AVENUE DE L');Etterbeek;0,067504704;421;28,41948022
21005A13-;LA CHASSE;Etterbeek;0,030061819;421;12,6560258
21005A082;COURS ST-MICHEL;Etterbeek;0,005685695;421;2,393677507
21005A01-;SAINTE-GERTRUDE;Etterbeek;0,072962971;421;30,71741063
21005A322;NOUVELLE AVENUE-SUD;Etterbeek;0,007236339;421;3,046498646
21005A311;CASERNE (Etterbeek);Etterbeek;0,035830215;421;15,08452044
21005A20-;PORTE DE TERVUEREN - TONGRES;Etterbeek;0,037670312;421;15,85920152
21005A15-;SAINT-MICHEL COLLEGE;Etterbeek;0,041433209;421;17,44338082
21005A031;MAELBEEK;Etterbeek;0,034093493;421;14,35336076
21005A051;RINSDELLE;Etterbeek;0,08882089;421;37,39359481
21005A11-;NOTRE-DAME DU SACRE-COEUR;Etterbeek;0,066843095;421;28,14094321
21005A00-;HOTEL COMMUNAL;Etterbeek;0,07902082;421;33,26776521
