,Libellé de l'unité ,N°FASE de l'établissement référent,Nom de l'établissement référent,Nom court de l'établissement référent,URL du site web,Adresse de l'établissement,Code postal de l'établissement,Localité de l'établissement,Latitude de l'établissement,Longitude de l'établissement,geoloc_etablissement,N°FASE du campus,Nom du campus,Adresse du campus,Code postal du campus,Localité du campus,Arrondissement du campus,Latitude du campus,Longitude du campus,geoloc_campus,Bxl / hors Bxl,sector_stat
234,Haute École,95064,Haute École provinciale de Hainaut - Condorcet,HEPHC,"http://www,condorcet,be",Chemin du Champ de Mars 17,7000,MONS,"50,46385","3,9527548","50,46385, 3,9527548",9206,Site de Montignies-sur-Sambre,Rue de l'Espérance 95,6061,MONTIGNIES-SUR-SAMBRE,Charleroi,"50,4132668","4,4621549","50,4132668, 4,4621549",Hors Brussels,
235,Haute École,95064,Haute École provinciale de Hainaut - Condorcet,HEPHC,"http://www,condorcet,be",Chemin du Champ de Mars 17,7000,MONS,"50,46385","3,9527548","50,46385, 3,9527548",10495,Site de Saint-Ghislain,Place Albert-Elisabeth 22,7330,SAINT-GHISLAIN,Mons,"50,4437055","3,8193532","50,4437055, 3,8193532",Hors Brussels,
236,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",9156,HELHa La Louvière,Rue de Belle-Vue 32,7100,LA LOUVIERE,La Louvière,"50,4738398","4,1876843","50,4738398, 4,1876843",Hors Brussels,
237,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",9159,HELHa Braine-le-Comte,Rue d'Horrues 174,7090,BRAINE-LE-COMTE,Soignies,"50,6111207","4,1276962","50,6111207, 4,1276962",Hors Brussels,
238,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",9178,HELHa Gosselies,Rue Circulaire 4,6041,GOSSELIES,Charleroi,"50,4654125","4,4301559","50,4654125, 4,4301559",Hors Brussels,
239,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",9180,HELHa Loverval,Place Maurice Brasseur 6,6280,LOVERVAL,Charleroi,"50,3740597","4,4736043","50,3740597, 4,4736043",Hors Brussels,
240,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",10512,HELHa Mouscron,Rue du Couvent 82B,7700,MOUSCRON,Tournai-Mouscron,"50,7424018","3,2000949","50,7424018, 3,2000949",Hors Brussels,
241,Haute École,95274,Haute École de Namur-Liège-Luxembourg,HENaLLux,"https://www,henallux,be/",Rue Saint-Donat 130,5002,SAINT-SERVAIS,"50,4733734","4,854954","50,4733734, 4,854954",9266,Département technique de Seraing,Rue de la carrière 20,4100,SERAING,Liège,"50,6083372","5,5133344","50,6083372, 5,5133344",Hors Brussels,
242,École supérieure des Arts,95309,Arts²,Arts²,"http://www,artsaucarre,be",Rue de Nimy 7,7000,MONS,"50,455367","3,953066","50,455367, 3,953066",9151,Soeurs Noires,Rue des Soeurs Noires 4A,7000,MONS,Mons,"50,449935","3,951602","50,449935, 3,951602",Hors Brussels,
243,Haute École,95493,Haute École Bruxelles-Brabant,HE2B,"http://he2b,be/",Chaussée de Waterloo 749,1180,UCCLE,"50,8139186","4,3676411","50,8139186, 4,3676411",7298,ESI,Rue Royale 67,1000,BRUXELLES,Bruxelles-Capitale,"50,8495841","4,3640226","50,8495841, 4,3640226",Brussels,21004A33-
244,Haute École,95493,Haute École Bruxelles-Brabant,HE2B,"http://he2b,be/",Chaussée de Waterloo 749,1180,UCCLE,"50,8139186","4,3676411","50,8139186, 4,3676411",9109,Campus Schaller,Avenue Charles Schaller 91,1160,AUDERGHEM,Bruxelles-Capitale,"50,803694","4,4416196","50,803694, 4,4416196",Brussels,21002A12-
245,Promotion sociale supérieur,41,Institut Roger Guilbert,"Inst, Roger Guilbert","http://www,ceria,be/irg/cms/index,php/fr/",Avenue Emile Gryson 1,1070,ANDERLECHT,"50,815497","4,2946619","50,815497, 4,2946619",66,,Avenue Emile Gryson 1,1070,ANDERLECHT,Bruxelles-Capitale,"50,815497","4,2946619","50,815497, 4,2946619",Brussels,21001A3MJ
246,Promotion sociale supérieur,151,"Institut Paul Hankar des technologies de la Communication, de la Construction et des Métiers d'Art",Institut Paul Hankar,"http://www,paulhankar,be",Boulevard de l'Abattoir 50,1000,BRUXELLES,"50,8472619","4,3377548","50,8472619, 4,3377548",242,,Boulevard de l'Abattoir 50,1000,BRUXELLES,Bruxelles-Capitale,"50,8472619","4,3377548","50,8472619, 4,3377548",Brussels,21004A22-
247,Promotion sociale supérieur,165,Willemsfonds - Cours de néerlandais moyens et supérieurs,Willemsfonds néerlandais,"http://www,willemsfondsbxl,be",Rue de la Fontaine 2,1000,BRUXELLES,"50,8407418","4,3422088","50,8407418, 4,3422088",256,,Rue de la Fontaine 2,1000,BRUXELLES,Bruxelles-Capitale,"50,8407418","4,3422088","50,8407418, 4,3422088",Brussels,21004A03-
248,Promotion sociale supérieur,166,Institut de Formation de cadres pour le Développement,Inst Form cadres Dévelop,"http://www,ifcad,info",Avenue Legrand 57,1050,IXELLES,"50,8150905","4,3686529","50,8150905, 4,3686529",257,,Avenue Legrand 57,1050,IXELLES,Bruxelles-Capitale,"50,8150905","4,3686529","50,8150905, 4,3686529",Brussels,21009A41-
