SectorStatID,Quartier,Places Mat ss
21015A35-,Josaphat,65.0
21015A53-,Dailly,90.0
21015A54-,Plasky,105.0
21015A52-,Porte Tervueren,399.0
21015A51-,Georges Henri,93.0
21015A05-,Chaussée de Haecht,267.0
21015A12-,Gare de Schaerbeek,9.0
21015A152,Gare de Schaerbeek,18.0
21015A101,Gare de Schaerbeek,8.0
21015A111,Helmet,220.0
21015A142,Helmet,19.0
21015A622,Colignon,37.0
21015A71-,Gare Josaphat,119.0
21015A04-,Chaussée de Haecht,303.0
21015A421,Quartier Brabant,50.0
21015A40-,Quartier Brabant,89.0
21015A43-,Quartier Nord,87.0
21015A44-,Quartier Nord,155.0
21015A41-,Quartier Brabant,81.0
21015A612,Quartier Brabant,102.0
21015A45-,Quartier Brabant,37.0
21015A00-,Colignon,406.0
21015A01-,Colignon,61.0
21015A24-,Colignon,160.0
21015A13-,Colignon,133.0
21015A22-,Terdelt,322.0
21015A272,Helmet,14.0
21015A231,Helmet,125.0
21015A20-,Helmet,439.0
21015A21-,Helmet,143.0
21016A901,Globe,88.0
21016A81-,Churchill,68.0
21016A82-,Churchill,99.0
21016A232,Montjoie - Langeveld,102.0
21016A831,Montjoie - Langeveld,209.0
21016A111,Observatoire,44.0
21016A841,Montjoie - Langeveld,23.0
21016A85-,Churchill,30.0
21016A042,Montjoie - Langeveld,36.0
21016A03-,Globe,136.0
21016A02-,Globe,169.0
21016A922,Globe,57.0
21016A912,Globe,55.0
21016A933,Vossegat - Roosendaal,142.0
21016A731,Kalevoet - Moensberg,34.0
21016A701,Kalevoet - Moensberg,144.0
21016A772,Kalevoet - Moensberg,50.0
21016A72-,Kalevoet - Moensberg,27.0
21016A71-,Kalevoet - Moensberg,90.0
21016A954,Globe,16.0
21016A80-,Churchill,63.0
21016A225,Observatoire,15.0
21016A64-,Kalevoet - Moensberg,130.0
21016A05-,Molière - Longchamp,81.0
21016A533,Kalevoet - Moensberg,30.0
