,SectorStatID,Nb d'enfants inscrits en maternelles habitant le ss
364,21013A252,94
365,21013A23-,73
366,21013A02-,89
367,21013A612,17
368,21013A22-,162
369,21013A211,69
370,21013A052,38
371,21013A151,57
372,21013A522,45
373,21013A40-,83
374,21013A41-,118
375,21013A031,43
376,21013A00-,108
377,21013A51-,44
378,21014A00-,148
379,21014A02-,73
380,21014A14-,64
381,21014A41-,189
382,21014A10-,103
383,21014A03-,56
384,21014A12-,15
385,21014A01-,51
386,21014A04-,128
387,21014A05-,355
388,21014A3MJ,26
389,21015A50-,193
390,21015A77-,81
391,21015A73-,74
392,21015A782,15
393,21015A31-,111
394,21015A36-,81
395,21015A70-,83
396,21015A721,48
397,21015A822,19
398,21015A34-,78
399,21015A63-,86
400,21015A883,15
401,21015A811,64
402,21015A831,144
403,21015A03-,279
404,21015A021,184
405,21015A30-,158
406,21015A32-,126
407,21015A64-,147
408,21015A33-,121
409,21015A35-,92
410,21015A53-,150
411,21015A54-,210
412,21015A52-,106
413,21015A51-,71
414,21015A05-,224
415,21015A12-,115
416,21015A152,221
417,21015A101,104
418,21015A111,158
419,21015A142,14
420,21015A622,38
421,21015A71-,68
422,21015A04-,255
423,21015A421,117
424,21015A40-,207
425,21015A43-,109
426,21015A44-,194
427,21015A41-,188
428,21015A612,237
429,21015A45-,85
430,21015A00-,414
431,21015A01-,62
432,21015A24-,163
433,21015A13-,136
434,21015A22-,172
435,21015A272,10
436,21015A231,90
437,21015A20-,316
438,21015A21-,103
439,21016A901,70
440,21016A81-,94
441,21016A82-,137
442,21016A232,45
443,21016A831,92
444,21016A111,27
445,21016A841,10
446,21016A85-,41
447,21016A042,16
448,21016A03-,108
449,21016A02-,134
450,21016A922,45
451,21016A912,44
452,21016A933,94
453,21016A731,24
454,21016A701,101
455,21016A772,35
456,21016A72-,19
457,21016A71-,63
458,21016A954,13
459,21016A80-,87
460,21016A225,9
461,21016A64-,91
462,21016A05-,150
463,21016A533,21
464,21016A943,35
465,21016A65-,48
466,21016A601,40
467,21016A620,28
468,21016A01-,142
469,21016A00-,139
470,21016A102,66
471,21016A12-,58
472,21016A44-,89
473,21016A214,13
474,21016A322,25
475,21016A400,96
476,21016A429,56
477,21016A410,29
478,21016A490,8
479,21016A639,78
480,21016A610,20
481,21016A521,10
482,21016A342,93
483,21016A311,40
484,21017A512,39
485,21017A541,26
486,21017A635,18
487,21017A11-,62
488,21017A240,27
489,21017A230,41
490,21017A220,20
491,21017A443,24
492,21017A41-,53
493,21017A523,43
494,21017A624,27
495,21017A534,13
496,21017A501,11
497,21017A432,40
498,21017A021,7
499,21017A01-,45
500,21017A12-,64
501,21017A13-,43
502,21017A212,41
503,21017A000,35
504,21017A451,49
505,21017A041,31
506,21018A20-,129
507,21018A72-,72
508,21018A21-,98
509,21018A35-,36
510,21018A34-,44
511,21018A32-,16
512,21018A311,78
513,21018A33-,67
514,21018A22-,65
515,21018A512,66
516,21018A031,56
517,21018A04-,76
518,21018A02-,42
519,21018A37-,12
520,21018A63-,68
521,21018A05-,44
522,21018A61-,77
523,21018A62-,123
524,21018A24-,65
