Code,Territoire,Part des moins de 3 ans dans la population totale (%),Nombre de places en milieu d'accueil par enfant de moins de trois ans (),Population totale (Nombre d'habitants),#0-2 ans,#places en creche
21017A031,AVENUE DELLEUR,0.00,0.00,136,0,0
21017A041,DREVE DU DUC,3.11,0.00,868,27,0
21017A08-,SOUVERAIN-EST,0.00,0.00,169,0,0
21017A09-,FORET DE SOIGNES,0.00,0.00,10,0,0
21017A11-,FLOREAL,3.11,0.00,1446,45,0
21017A12-,LE LOGIS-NORD,2.38,1.08,2266,54,0
21017A13-,BOULEAUX,3.08,0.34,1137,35,0
21017A192,STADE DES TROIS TILLEULS,0.00,0.00,14,0,0
21017A212,AVENUE DE LA TE0ERIE,2.36,0.44,1781,42,0
21017A220,LE LOGIS-SUD,2.50,0.21,641,16,0
21017A230,BEGUINETTES,2.81,0.13,1317,37,0
21017A240,SOUVERAIN-OUEST,2.64,0.15,794,21,0
21017A312,CLOS DES CHENES,0.00,0.00,165,0,0
21017A323,DREVE DES TUMULI,0.00,0.00,115,0,0
21017A374,ZONING DE BUREAUX-SUD,0.00,0.00,273,0,0
21017A382,FORESTERIE,0.00,0.00,0,0,0
21017A393,ETANGS DE BOITSFORT,0.00,0.00,38,0,0
21017A41-,AVENUE DE VISE,3.49,0.00,1603,56,0
21017A421,WATERMAEL - STATION,0.00,0.00,143,0,0
21017A432,DRIES,3.97,0.19,1109,44,0
21017A443,VILLE-ET-FORET - ELAN,2.78,0.00,828,23,0
21017A451,FUTAIE,3.78,0.00,1323,50,0
21017A472,ZONING DE BUREAUX-NORD,0.00,0.00,19,0,0
21017A501,CENTRE DE WATERMAEL,3.56,1.87,393,14,0
21017A512,VA0ER ELST - BIEN FAIRE,3.68,0.37,1114,41,0
21017A523,MARTIN-PECHEUR,2.48,1.50,1534,38,0
21017A534,RUE DES BEGONIAS,3.82,0.00,340,13,0
21017A541,LOUTRIER - WIENER,3.31,0.00,907,30,0
21017A613,AVENUE DE TERCOIGNE,0.00,0.00,127,0,0
21017A624,PECHERIES,3.00,0.00,1101,33,0
21017A635,PRINCES BRABANCONS,2.47,0.00,446,11,0
21017A696,HERONNIERE,0.00,0.00,85,0,0
21018A00-,TOMBERG,3.48,0.00,1551,54,0
21018A01-,SAINT-LAMBERT,5.15,1.87,1010,52,0
21018A02-,SLEGERS (AVENUE),3.57,0.00,1372,49,0
21018A031,ABELOOS,3.35,0.00,1550,52,0
21018A04-,BEETEPUT,3.70,0.00,1894,70,0
21018A05-,DRIES,3.78,0.48,1189,45,0
21018A09-,RASANTE,2.08,0.00,288,6,0
21018A12-,STOCKEL (CHAUSSEE DE),3.29,0.00,1366,45,0
21018A13-,GROOTVELD,3.45,0.00,550,19,0
21018A14-,CHANCELLERIE,3.23,3.12,1207,39,0
21018A15-,LES SOURCES,4.25,0.00,212,9,0
21018A19-,STRUYCKBEKEN,0.00,0.00,17,0,0
21018A20-,GEORGES HENRI (AVENUE),4.10,0.61,3247,133,0
21018A21-,DE BROQUEVILLE (AVENUE)-NORD,3.29,0.88,3160,104,0
21018A22-,DE BROQUEVILLE (AVENUE)-SUD,3.38,0.00,1746,59,0
21018A24-,LAMBEAU (AVENUE),3.24,0.06,2220,72,0
21018A30-,SAINTE-FAMILLE,2.59,0.00,1275,33,0
21018A311,PARC SCHUMAN,3.15,0.00,2315,73,0
21018A32-,CLOS DES PEUPLIERS,2.45,7.00,449,11,0
21018A33-,NEERVELD,3.43,0.53,2127,73,0
21018A34-,HOF TEN BERG-SUD,3.35,0.00,1164,39,0
21018A35-,HOF TEN BERG-NORD,2.50,0.00,1042,26,0
21018A37-,COMMUNAUTES,3.75,0.00,427,16,0
21018A3MJ,GULLEDELLE,4.74,0.00,3269,155,0
21018A41-,EUROPE,3.25,0.52,1506,49,0
21018A42-,VERVLOESEM,3.89,0.00,1260,49,0
21018A43-,ROODEBEEK,3.73,0.00,1073,40,0
21018A512,QUARTIER DES PEINTRES,4.42,0.36,1650,73,0
21018A60-,ROODEBEEK PARC,3.66,7.92,629,23,0
21018A61-,HEYDENBERG-EST,3.42,0.68,1874,64,0
21018A62-,HEYDENBERG-OUEST,4.06,0.00,3496,142,0
21018A63-,CONSTELLATIONS,2.81,0.60,1742,49,0
21018A643,DEUX MAISONS,2.75,0.19,1927,53,0
21018A72-,ROGATIONS,2.90,0.30,2449,71,0
21018A81-,KAPELLEVELD-SUD,1.63,0.33,613,10,0
21018A82-,MARIE LA MISERABLE,2.40,0.00,584,14,0
21018A83-,KLAKKEDELLE,2.99,1.05,969,29,0
21018A84-,KAPELLEVELD-NORD-EST,1.77,1.38,793,14,0
21018A87-,SAINT-LUC,3.50,5.93,1029,36,0
21019A001,CENTRE,4.13,0.93,1621,67,0
21019A01-,BOULEVARD DE LA WOLUWE,4.10,0.70,707,29,0
21019A02-,CLOS DU SOLEIL,6.00,0.00,300,18,0
21019A03-,CAPITAINE PIRET (AVENUE),3.28,0.00,1129,37,0
21019A04-,EGGERICX (RUE),3.72,0.10,1076,40,0
21019A052,DON BOSCO,3.47,0.00,1009,35,0
21019A09-,WOLUWE (PARC DE),0.00,0.00,6,0,0
21019A10-,STOCKEL,3.37,0.88,2465,83,0
21019A11-,MILLE METRES (AVENUE),2.95,0.00,1050,31,0
21019A12-,ESCRIME (AVENUE DE L'),2.13,0.00,611,13,0
21019A131,KONKEL,3.38,0.59,1715,58,0
21019A14-,VAL DE SEIGNEURS,2.85,0.00,1684,48,0
21019A15-,KAPELLEVELD,3.46,1.04,1562,54,0
21019A20-,SAINT-PAUL,3.46,0.00,1300,45,0
21019A21-,MANOIR,3.72,0.96,1587,59,0
21019A22-,PUTDAAL,1.28,0.00,623,8,0
21019A231,KELLE,4.41,0.42,1042,46,0
21019A242,VENELLES,2.84,0.63,1128,32,0
21019A252,MONTGOLFIER,2.21,0.00,1224,27,0
21019A28-,ETANGS MELLAERTS,0.00,0.00,111,0,0
21019A30-,EGLANTINES (AVENUE),3.85,0.56,936,36,0
21019A31-,BEMEL,2.82,0.00,1311,37,0
21019A32-,CHANT D'OISEAU,5.00,0.58,2680,134,0
21019A33-,MIMOSAS (AVENUE),3.48,0.00,1839,64,0
21019A34-,EUROPE (QUARTIER DE L'),3.63,0.00,1131,41,0
21019A35-,HORIZON (AVENUE),2.19,0.00,1463,32,0
21019A40-,SAINTE-ALIX,3.31,0.04,2901,96,0
21019A41-,CITE JOLI-BOIS,2.44,0.72,1066,26,0
21019A42-,SALOME AVENUE,2.23,2.88,1303,29,0
21019A43-,CORNICHE VERTE,2.69,1.69,520,14,0
21019A441,FAISA0ERIE,0.76,0.00,394,3,0
21019A45-,HELICE (AVENUE DE L'),1.93,0.00,934,18,0
21019A492,BOIS,0.00,0.00,2,0,0
21019A51-,COLLEGE SAINT-MICHEL,3.59,0.00,1781,64,0
