Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21017A523;MARTIN-PECHEUR;Watermael-Boitsfort;0,108639643;0,121996553;0,641961525;0,676526342;0,158021299;0,21072132;0,641961525;0,676526342;0;0;0,158021299;0,21072132;1,896255582;1,730132939;1,086396427;1,430686854
21017A613;AVENUE DE TERCOIGNE;Watermael-Boitsfort;0,009604374;0,008665682;0,05675312;0,048055145;0,013969999;0,014967996;0,05675312;0,048055145;0;0;0,013969999;0,014967996;0,167639986;0,122895126;0,096043742;0,101624815
21017A696;HERONNIERE;Watermael-Boitsfort;0,006770297;0,006093058;0,040006298;0,033788774;0,009847704;0,010524372;0,040006298;0,033788774;0;0;0,009847704;0,010524372;0,118172449;0,086410635;0,067702966;0,071454948
21017A624;PECHERIES;Watermael-Boitsfort;0,085967022;0,077991137;0,507986946;0,432496307;0,125042941;0,134711965;0,507986946;0,432496307;0;0;0,125042941;0,134711965;1,500515287;1,10605613;0,859670216;0,914623338
21017A534;RUE DES BEGONIAS;Watermael-Boitsfort;0,024876904;0,025455441;0,146999885;0,141161989;0,036184587;0,043968488;0,146999885;0,141161989;0;0;0,036184587;0,043968488;0,434215046;0,361004431;0,248769037;0,298522895
21017A501;CENTRE DE WATERMAEL;Watermael-Boitsfort;0,03038761;0,026809453;0,179563151;0,148670606;0,04420016;0,046307238;0,179563151;0,148670606;0;0;0,04420016;0,046307238;0,530401924;0,380206795;0,303876102;0,314401773
21017A421;WATERMAEL - STATION;Watermael-Boitsfort;0,010549067;0,010832102;0,062335394;0,060068932;0,015344097;0,018709995;0,062335394;0,060068932;0;0;0,015344097;0,018709995;0,184129165;0,153618907;0,105490668;0,127031019
21017A432;DRIES;Watermael-Boitsfort;0,082975495;0,075960118;0,490309745;0,421233383;0,120691629;0,13120384;0,490309745;0,421233383;0;0;0,120691629;0,13120384;1,448299553;1,077252585;0,829754952;0,890805022
21017A021;DREVE DES EQUIPAGES;Watermael-Boitsfort;0,02660884;0,026267848;0,157234055;0,145667159;0,038703767;0,045371738;0,157234055;0,145667159;0;0;0,038703767;0,045371738;0,464445208;0,372525849;0,2660884;0,308050222
21017A01-;COIN DU BALAI;Watermael-Boitsfort;0,092579869;0,092343673;0,547062865;0,512087642;0,134661628;0,159502708;0,547062865;0,512087642;0;0;0,134661628;0,159502708;1,61593954;1,309601182;0,925798695;1,082939439
