Code;Territoire;single dad;;Faire une loi normale centrée en 43 allant de 16 à 70
21007A00-;CENTRE SAINT-DENIS;31;;
21007A101;BOURGOGNE;16;;
21007A783;PARC DE FOREST;0;;
21007A373;CHARROI (RUE DE);0;;
21007A071;BOLLINCKX;6;;
21007A70-;ALTITUDE  CENT;29;;
21007A239;NEPTUNE (AVENUE) I;24;;
21007A05-;NEERSTALLE;0;;
21007A082;BEMPT;0;;
21007A01-;CURE D'ARS;13;;
21007A132;DENAYER (RUE);0;;
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;12;;
21007A40-;PONT DE LUTTRE;13;;
21007A02-;STUART MERRIL;0;;
21007A12-;HAVESKERCKE;0;;
21007A60-;SAINT-ANTOINE;30;;
21007A73-;BERCKENDAEL (RUE);21;;
21007A72-;MOLIERE;47;;
21007A71-;CHAUSSEE D'ALSEMBERG;13;;
21007A79-;PARC DUDEN;0;;
21008A31-;TOUSSAINT;0;;
21008A30-;LE HOME;12;;
21008A00-;CENTRE;8;;
21008A38-;PARC DE RIVIEREN;0;;
21008A27-;NESTOR MARTIN;0;;
21008A220;VILLAS DE GANSHOREN (OUEST);31;;
21008A02-;SIPPELBERG;20;;
21008A34-;PARC ALBERT;0;;
21008A35-;CHARTE;0;;
21008A240;REFORME;6;;
21008A23-;DE MESMAEKER;0;;
21008A20-;CHARLES-QUINT;32;;
21008A29-;RIVIERE MOLENBEEK;0;;
21008A01-;VAN PAGE-SUD;0;;
21008A33-;VAN PAGE-NORD;9;;
21008A32-;HEIDEKEN;11;;
21008A10-;PLATEAU;29;;
21008A19-;BASILIQUE;0;;
21008A21-;MAIL;24;;
21009A20-;PETITE SUISSE (PLACE DE LA);27;;
21009A23-;ETOILE (ROND POINT DE L');18;;
21009A623;KLAUWAERTS;0;;
21009A90-;SAINT-PHILIPPE DE NERI;8;;
21009A652;HOPITAUX;17;;
21009A501;LUXEMBOURG (PLACE DE);0;;
21009A552;PORTE DE NAMUR;14;;
21009A542;EGLISE ANGLICANE;0;;
21009A051;SAINT-BONIFACE;4;;
21009A041;ARBRE BENIT;14;;
21009A00-;CENTRE;20;;
21009A02-;MUSEE;19;;
21009A101;FLAGEY (PLACE);14;;
21009A03-;ERMITAGE;9;;
21009A13-;GACHARD;9;;
21009A121;GENERAL DE GAULLE;10;;
21009A63-;MACAU;25;;
21009A602;BELVEDERE;0;;
21009A42-;RENIER CHALON;22;;
21009A40-;MELEZES;18;;
21009A301;BOONDAEL-NORD;0;;
21009A812;SCHOOLGAT;0;;
21009A33-;SAINT-ADRIEN;27;;
21009A34-;STADE COMMUNAL;0;;
21009A21-;ETE;20;;
21009A43-;FERNAND NEURAY;14;;
21009A41-;SAINT-GEORGES;11;;
21009A83-;L. ERNOTTE (RUE);12;;
21009A52-;GRAY (RUE);28;;
21009A2MJ;CAMPUS UNIVERSITAIRE;0;;
21009A44-;PREVOT;7;;
21009A712;CHATELAIN (PLACE DU)-OUEST;0;;
21009A72-;DEFACQZ;12;;
21009A911;A. DELPORTE-SUD;11;;
21009A311;TREILLE (RUE DE LA);0;;
21009A802;BOONDAEL-SUD;0;;
21009A82-;FORET;6;;
21009A111;WERY (RUE);25;;
21009A01-;BLYCKAERTS;17;;
21009A22-;UNIVERSITE;26;;
21009A53-;LONDRES (PLACE DE);18;;
21009A512;WIERTZ;0;;
21009A593;QUARTIER LEOPOLD;0;;
21009A612;LIEGEOIS (RUE);26;;
21009A151;A. DELPORTE-NORD;0;;
21009A922;CASERNE (Ixelles);0;;
21009A29-;CIMETIERE;0;;
21009A73-;BERCKENDAEL;24;;
21009A451;CHATELAIN (PLACE DU)-EST;22;;
21009A192;ETANGS;0;;
21010A393;SACRE-COEUR;0;;
21010A04-;NOTRE-DAME DE LOURDES;36;;
21010A092;PARC DE LA JEUNESSE;0;;
21010A03-;MIROIR;22;;
21010A182;DIELEGEM (BOIS DE);0;;
21010A10-;ANCIENNE BARRIERE;26;;
21010A121;F. MOHRFELD (RUE DE);16;;
21010A111;HEYMBOSCH;23;;
21010A312;BAECK DUPRE;0;;
21010A4MJ;VUB;0;;
21010A1AJ;ARBRE BALLON;34;;
21010A05-;ALBERT (QUARTIER);47;;
21010A493;LAERBEEK (BOIS DE);0;;
21010A13-;CITE-JARDIN;30;;
21010A00-;CENTRE;45;;
21010A141;BRUGMANN;26;;
21010A01-;ESSEGHEM;33;;
21010A21-;MADELEINE;39;;
21010A02-;LEOPOLD I;29;;
