Hour;Min;position;regression;proba
9;20;560;10,7769016;0,18
9;21;561;10,80168003;0,18
9;22;562;10,82645846;0,18
9;23;563;10,85123689;0,18
9;24;564;10,87601532;0,18
9;25;565;10,90079375;0,18
9;26;566;10,92557218;0,18
9;27;567;10,95035062;0,18
9;28;568;10,97512905;0,18
9;29;569;10,99990748;0,18
9;30;570;11,02468591;0,18
9;31;571;11,04946434;0,18
9;32;572;11,07424277;0,18
9;33;573;11,0990212;0,18
9;34;574;11,12379963;0,19
9;35;575;11,14857806;0,19
9;36;576;11,17335649;0,19
9;37;577;11,19813492;0,19
9;38;578;11,22291336;0,19
9;39;579;11,24769179;0,19
9;40;580;11,27247022;0,19
9;41;581;11,29724865;0,19
9;42;582;11,32202708;0,19
9;43;583;11,34680551;0,19
9;44;584;11,37158394;0,19
9;45;585;11,39636237;0,19
9;46;586;11,4211408;0,19
9;47;587;11,44591923;0,19
9;48;588;11,47069766;0,19
9;49;589;11,49547609;0,19
9;50;590;11,52025453;0,19
9;51;591;11,54503296;0,19
9;52;592;11,56981139;0,19
9;53;593;11,59458982;0,19
9;54;594;11,61936825;0,19
9;55;595;11,64414668;0,19
9;56;596;11,66892511;0,19
9;57;597;11,69370354;0,19
9;58;598;11,71848197;0,20
9;59;599;11,7432604;0,20
10;0;600;11,76803883;0,20
10;1;601;11,71249616;0,20
10;2;602;11,65695349;0,19
10;3;603;11,60141082;0,19
10;4;604;11,54586815;0,19
10;5;605;11,49032548;0,19
10;6;606;11,4347828;0,19
10;7;607;11,37924013;0,19
10;8;608;11,32369746;0,19
10;9;609;11,26815479;0,19
10;10;610;11,21261212;0,19
10;11;611;11,15706945;0,19
10;12;612;11,10152677;0,19
10;13;613;11,0459841;0,18
10;14;614;10,99044143;0,18
10;15;615;10,93489876;0,18
10;16;616;10,87935609;0,18
10;17;617;10,82381342;0,18
10;18;618;10,76827074;0,18
10;19;619;10,71272807;0,18
10;20;620;10,6571854;0,18
10;21;621;10,60164273;0,18
10;22;622;10,54610006;0,18
10;23;623;10,49055739;0,17
10;24;624;10,43501471;0,17
10;25;625;10,37947204;0,17
