Code;Territoire;Commune;Peripherie
21016A383;FORET DE SOIGNES LORRAINE-W.;Uccle;No
21016A311;FORT JACO;Uccle;No
21007A03-;FOYER FORESTOIS - FAMILLE;Forest;No
21007A04-;FOYER FORESTOIS - MADELON;Forest;No
21013A623;FRANCE (RUE DE);Saint-Gilles;No
21017A451;FUTAIE;Watermael-Boitsfort;No
21009A13-;GACHARD;Ixelles;No
21003A2MJ;GARE;Berchem Sainte-Agathe;No
21015A101;GARE;Schaerbeek;Périphérie
21004A10-;GARE CENTRALE;Bruxelles;No
21004G371;GARE DE FORMATION;Bruxelles;Périphérie
21006A073;GARE DE FORMATION;Evere;No
21013A2MJ;GARE DU MIDI;Saint-Gilles;No
21015A43-;GARE DU NORD;Schaerbeek;No
21012A172;GARE OUEST;Molenbeek Saint-Jean;No
21009A121;GENERAL DE GAULLE;Ixelles;No
21005A10-;GENERAL HENRI (RUE);Etterbeek;No
21018A20-;GEORGES HENRI (AVENUE);Woluwe Saint-Lambert;No
21006A12-;GERMINAL I;Evere;No
21006A323;GERMINAL II;Evere;No
21006A25-;GIBET;Evere;Périphérie
21007A242;GLOBE;Forest;No
21016A00-;GLOBE-EST;Uccle;No
21016A912;GLOBE-OUEST;Uccle;No
21001B332;GOUJONS;Anderlecht;No
21004A14-;GRAND SABLON;Bruxelles;No
21015A30-;GRANDE RUE AU BOIS;Schaerbeek;No
21004A001;GRAND-PLACE;Bruxelles;No
21009A52-;GRAY (RUE);Ixelles;No
21016A102;GROESELENBERG;Uccle;No
21018A13-;GROOTVELD;Woluwe Saint-Lambert;No
21015A21-;GUIDO GEZELLE (RUE);Schaerbeek;No
21013A121;GUILLAUME TELL-SUD;Saint-Gilles;No
21018A3MJ;GULLEDELLE;Woluwe Saint-Lambert;Périphérie
21015A73-;H. EVENEPOEL (RUE);Schaerbeek;No
21014A04-;HAECHT (CHAUSSEE DE);Saint-Josse-ten-Noode;No
21016A12-;HAMOIR;Uccle;No
21004G321;HAREN-EST;Bruxelles;Périphérie
21004G3NJ;HAREN-SUD;Bruxelles;Périphérie
21004G310;HAREN-SUD-OUEST;Bruxelles;No
21003A03-;HAUT-CHAMP;Berchem Sainte-Agathe;No
21006A201;HAUT-EVERE;Evere;No
21007A12-;HAVESKERCKE;Forest;No
21008A32-;HEIDEKEN;Ganshoren;No
21019A45-;HELICE (AVENUE DE L');Woluwe Saint-Pierre;No
21015A20-;HELMET;Schaerbeek;No
21017A696;HERONNIERE;Watermael-Boitsfort;No
21018A61-;HEYDENBERG-EST;Woluwe Saint-Lambert;No
21018A62-;HEYDENBERG-OUEST;Woluwe Saint-Lambert;No
21010A111;HEYMBOSCH;Jette;No
21004E8MJ;HEYSEL;Bruxelles;Périphérie
21018A35-;HOF TEN BERG-NORD;Woluwe Saint-Lambert;Périphérie
21018A34-;HOF TEN BERG-SUD;Woluwe Saint-Lambert;No
21003A342;HOGENBOS;Berchem Sainte-Agathe;No
21016A639;HOMBORCH;Uccle;Périphérie
21006A21-;HOME FAMILIAL BRABANT;Evere;No
21004E8NJ;HOPITAL BRUGMANN;Bruxelles;No
21003A10-;HOPITAL FRANCAIS;Berchem Sainte-Agathe;No
21015A272;HOPITAL P. BRIEN;Schaerbeek;No
21001C522;HOPITAL U.L.B.;Anderlecht;Périphérie
21009A652;HOPITAUX;Ixelles;No
