SectorStatID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
21001A732,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21001A982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A90-,12,12,12,12,12,14,14,14,14,14,12,12,12,12,12,11,11,11,13,13,13,15,15,13,15,15,14,13,15,13,16,14,14,18,14,17,15,15,15,15,14,13,13,12,12,16,16,16,16,16,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,2,2,2,2,2
21001A783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A132,9,9,9,9,9,10,10,10,10,10,6,6,6,6,6,7,7,7,9,9,9,8,8,8,8,12,10,10,10,10,12,10,10,10,10,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,11,11,11,11,11,6,6,6,6,6,6,6,6,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001B31-,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,7,7,7,7,7,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,4,3,3,4,4,7,7,7,7,7,5,5,5,5,5,7,7,7,7,7,3,3,3,3,3,5,5,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21001B25-,38,38,38,38,38,34,34,34,34,34,29,29,29,29,29,26,26,26,32,32,32,32,32,27,31,30,30,32,30,30,33,33,33,33,33,34,34,34,34,34,38,38,38,38,38,35,35,35,35,35,25,25,25,25,25,22,22,22,22,22,22,22,22,15,15,10,10,10,10,10,5,5,5,5,5,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
21001B11-,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,6,6,6,6,8,8,10,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,5,5,5,4,4,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A72-,28,28,28,28,28,27,27,27,27,27,24,24,24,24,24,20,20,20,23,23,23,20,20,20,19,23,23,20,20,23,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22,22,22,22,22,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,11,11,11,11,11,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2
21001A011,29,29,29,29,29,24,24,24,24,24,21,21,21,21,21,17,17,17,19,23,23,30,30,27,24,26,26,26,26,26,35,31,31,31,31,31,31,31,31,31,30,30,30,30,30,29,29,29,29,29,27,27,27,27,27,22,22,22,22,22,22,22,22,14,14,9,9,9,9,9,7,7,7,7,7,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
