SectorStatID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21001A81-,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,9,42,39,42,42,12,14,15,15,14,14,17,14,15,14,19,16,15,15,16,19,20,16,13,16,13,13,13,13,13,13,14,13,13,13,12,12,12,12,12,13,13,13,13,13,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4
21001C79-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A31-,9,9,9,9,9,8,8,8,8,8,4,4,4,4,4,4,12,10,12,13,5,6,7,7,6,7,7,7,7,7,9,9,9,9,9,7,7,7,8,7,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001A031,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,13,30,25,24,26,17,17,17,17,17,17,18,17,17,17,16,16,16,18,16,14,14,14,14,14,11,11,11,11,11,14,14,14,14,14,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001B22-,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,6,9,12,14,15,10,10,10,14,10,12,12,12,12,12,16,16,16,16,16,11,11,11,11,11,7,7,7,7,7,8,8,8,8,8,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001B321,17,17,17,17,17,14,14,14,14,14,16,16,16,16,16,13,29,25,27,30,14,15,16,15,15,15,16,17,15,17,17,17,17,17,17,15,12,15,15,12,10,10,10,10,10,12,12,12,12,12,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,6,6,6,6,6,6,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001B20-,55,55,55,55,55,45,45,45,45,45,38,38,38,38,38,37,53,46,65,53,44,51,44,44,41,42,38,43,43,38,47,44,44,44,44,41,41,41,41,41,39,39,39,39,39,33,33,33,33,33,26,26,26,26,26,26,26,26,26,26,19,19,19,19,19,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2
21001B23-,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,10,17,17,17,19,12,11,12,12,11,13,13,13,13,13,14,14,14,14,14,12,12,12,12,12,7,7,7,7,7,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,4,4,4,4,4,4,3,3,3,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001A142,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,15,17,16,15,10,9,10,9,10,11,11,11,11,11,10,12,10,10,11,10,10,11,10,10,8,8,8,8,8,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
21001A051,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,8,19,23,25,22,18,13,12,12,12,14,12,15,15,12,13,13,13,13,13,10,10,11,12,10,8,8,8,8,8,11,8,8,8,8,9,9,9,9,9,6,6,6,6,6,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
