Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Commune_from;Commune_to;Sum of Compte
1000;BRUXELLES;Femme;19;6180;COURCELLES;52015;52000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6200;CHATELET;52012;52000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6210;LES BONS VILLERS;52075;52000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6220;FLEURUS;52021;52000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;6230;PONT-A-CELLES;52055;52000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;19;6280;GERPINNES;52025;52000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6640;VAUX-SUR-SURE;82036;82000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6717;ATTERT;81003;81000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6760;VIRTON;85045;85000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6880;BERTRIX;84009;84000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6940;DURBUY;83012;83000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7000;MONS;53053;53000;(blank);Bruxelles;8
1000;BRUXELLES;Femme;19;7040;QUEVY;53084;53000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7050;JURBISE;53044;53000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7060;SOIGNIES;55040;55000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;7070;LE ROEULX;55035;55000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7090;BRAINE-LE-COMTE;55004;55000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;19;7100;LA LOUVIERE;58001;58000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7130;BINCHE;58002;58000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7160;CHAPELLE-LEZ-HERLAIMONT;52010;52000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;7170;MANAGE;55086;55000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;7190;ECAUSSINNES;55050;55000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7300;BOUSSU;53014;53000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7330;SAINT-GHISLAIN;53070;53000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7500;TOURNAI;57081;57000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;7620;BRUNEHAUT;57093;57000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;7700;MOUSCRON;57096;57000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;7730;ESTAIMPUIS;57027;57000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7800;ATH;51004;51000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;7830;SILLY;51068;51000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7850;ENGHIEN;51067;51000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;7860;LESSINES;51069;51000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;7870;LENS;53046;53000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7950;CHIEVRES;51014;51000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;7970;BELOEIL;51008;51000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;8500;COURTRAI;34022;34000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;9300;ALOST;41002;41000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;9340;LEDE;41034;41000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;9400;NINOVE;41048;41000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;9470;DENDERLEEUW;41011;41000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;(blank);(blank);(blank);(blank);(blank);Bruxelles;56
1000;BRUXELLES;Femme;20;0002;REGION FLAMANDE;(blank);(blank);(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;1300;WAVRE;25112;25000;(blank);Bruxelles;6
1000;BRUXELLES;Femme;20;1310;LA HULPE;25050;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;1315;INCOURT;25043;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;1320;BEAUVECHAIN;25005;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1325;CHAUMONT-GISTOUX;25018;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;1330;RIXENSART;25091;25000;(blank);Bruxelles;5
1000;BRUXELLES;Femme;20;1340;OTTIGNIES-LOUVAIN-LA-NEUVE;25121;25000;(blank);Bruxelles;9
1000;BRUXELLES;Femme;20;1350;ORP-JAUCHE;25120;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1360;PERWEZ;25084;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1370;JODOIGNE;25048;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1380;LASNE;25119;25000;(blank);Bruxelles;7
1000;BRUXELLES;Femme;20;1390;GREZ-DOICEAU;25037;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1402;NIVELLES;(blank);(blank);(blank);Bruxelles;10
1000;BRUXELLES;Femme;20;1410;WATERLOO;25110;25000;(blank);Bruxelles;9
1000;BRUXELLES;Femme;20;1420;BRAINE-L'ALLEUD;25014;25000;(blank);Bruxelles;8
1000;BRUXELLES;Femme;20;1430;REBECQ;25123;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1440;BRAINE-LE-CHATEAU;25015;25000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;20;1450;CHASTRE;25117;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;1457;WALHAIN;25124;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1460;ITTRE;25044;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1470;GENAPPE;25031;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;1480;TUBIZE;25105;25000;(blank);Bruxelles;9
1000;BRUXELLES;Femme;20;1490;COURT-SAINT-ETIENNE;25023;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1500;HAL;23027;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;1560;HOEILAART;23033;23000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1600;SINT-PIETERS-LEEUW;23077;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;1620;DROGENBOS;23098;23000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1630;LINKEBEEK;23100;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;1640;RHODE-SAINT-GENESE;23101;23000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;20;1650;BEERSEL;23003;23000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;20;1700;DILBEEK;23016;23000;(blank);Bruxelles;6
1000;BRUXELLES;Femme;20;1730;ASSE;23002;23000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;20;1770;LIEDEKERKE;23044;23000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;1780;WEMMEL;23102;23000;(blank);Bruxelles;6
1000;BRUXELLES;Femme;20;1800;VILVORDE;23088;23000;(blank);Bruxelles;14
1000;BRUXELLES;Femme;20;1820;STEENOKKERZEEL;23081;23000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1850;GRIMBERGEN;23025;23000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;20;1860;MEISE;23050;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;1910;KAMPENHOUT;23038;23000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1930;ZAVENTEM;23094;23000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;1950;KRAAINEM;23099;23000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;1970;WEZEMBEEK-OPPEM;23103;23000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;2000;ANVERS;11002;11000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;2800;MALINES;12025;12000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;3020;HERENT;24038;24000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;3080;TERVUREN;24104;24000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;3090;OVERIJSE;23062;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;3300;TIRLEMONT;24107;24000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;4000;LIEGE;62063;62000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;4050;CHAUDFONTAINE;62022;62000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4160;ANTHISNES;61079;61000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;4260;BRAIVES;64015;64000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4280;HANNUT;64034;64000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4430;ANS;62003;62000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4460;GRACE-HOLLOGNE;62118;62000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4470;SAINT-GEORGES-SUR-MEUSE;64065;64000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4530;VILLERS-LE-BOUILLET;61068;61000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4560;CLAVIER;61012;61000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4577;MODAVE;61041;61000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4600;VISE;62108;62000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;4620;FLERON;62038;62000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;4670;BLEGNY;62119;62000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4800;VERVIERS;63079;63000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4840;WELKENRAEDT;63084;63000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4850;PLOMBIERES;63088;63000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4950;WAIMES;63080;63000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;4960;MALMEDY;63049;63000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5000;NAMUR;92094;92000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;5030;GEMBLOUX;92142;92000;(blank);Bruxelles;7
1000;BRUXELLES;Femme;20;5060;SAMBREVILLE;92137;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5150;FLOREFFE;92045;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5170;PROFONDEVILLE;92101;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5190;JEMEPPE-SUR-SAMBRE;92140;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5300;ANDENNE;92003;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5310;EGHEZEE;92035;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5330;ASSESSE;92006;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5360;HAMOIS;91059;91000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5370;HAVELANGE;91064;91000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5555;BIEVRE;91015;91000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5570;BEAURAING;91013;91000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;5620;FLORENNES;93022;93000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;6000;CHARLEROI;52011;52000;(blank);Bruxelles;6
1000;BRUXELLES;Femme;20;6110;MONTIGNY-LE-TILLEUL;52048;52000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;20;6150;ANDERLUES;56001;56000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;6180;COURCELLES;52015;52000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;20;6200;CHATELET;52012;52000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;6220;FLEURUS;52021;52000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;20;6230;PONT-A-CELLES;52055;52000;(blank);Bruxelles;3
